Location,Name,Mode,Size,Segment
"000129b4","nnroControlObject_",$d,00000001,".text"
"0000029c","FUN_0000c878_0000029c",$a,00000004,".text"
"0000ce10","FUN_0000ce10",$a,00000034,".text"
"0000ad74","FUN_0000ad74",$a,000000ac,".text"
"00001e14","FUN_00001e14",$a,00000210,".text"
"000156c8","DAT_000156c8",$d,00000001,".text"
"000002dc","FUN_0000ce44_000002dc",$a,00000004,".text"
"0000d064","FUN_0000d064",$a,000000a4,".text"
"00002d9c","FUN_00002d9c",$a,00000028,".text"
"0001586c","DAT_0001586c",$d,00000001,".text"
"0000eee4","FUN_00002d9c_0000eee4",$a,00000030,".text"
"0000d9e8","FUN_0000d9e8",$a,00000008,".text"
"0001259c","FUN_00011740_0001259c",$a,00000018,".text"
"0000c878","FUN_0000c878",$a,0000000c,".text"
"0000ad0c","FUN_0000ad0c",$a,00000060,".text"
"00000a5c","FUN_0000c9e0_00000a5c",$a,00000004,".text"
"0000c898","FUN_0000c898",$a,0000006c,".text"
"0000c610","FUN_0000c610",$a,000001a4,".text"
"0001ed3c","DAT_0001ed3c",$d,00000001,".text"
"00002ee8","FUN_00002ee8",$a,00000034,".text"
"00011720","FUN_00011720",$a,00000020,".text"
"00007c90","FUN_00011720_00007c90",$a,00000024,".text"
"00002ec8","FUN_00002ec8",$a,00000020,".text"
"00011700","FUN_00011700",$a,00000020,".text"
"00002958","FUN_00002958",$a,00000078,".text"
"00004b84","FUN_00004b84",$a,00000098,".text"
"00000180","FUN_0005a498",$d,00000001,".text"
"00011760","FUN_00011760",$a,00000018,".text"
"00012554","FUN_00011700_00012554",$a,00000028,".text"
"00011960","FUN_00011960",$a,0000011c,".text"
"00011740","FUN_00011740",$a,00000020,".text"
"0000c958","FUN_0000c958",$a,00000084,".text"
"0000f7d8","FUN_0000f7d8",$a,0000010c,".text"
"0000ae44","FUN_0000ae44",$a,000001a8,".text"
"0001ed34","DAT_0001ed34",$d,00000001,".text"
"0000ce44","FUN_0000ce44",$a,000000bc,".text"
"0000d7f4","FUN_0000d7f4",$a,000000e8,".text"
"000038c4","FUN_000038c4",$a,00000044,".text"
"0000dc34","FUN_0000dc34",$a,00000040,".text"
"0000c9e0","FUN_0000c9e0",$a,0000001c,".text"
"0000bf30","FUN_0000bf30",$a,000004c4,".text"
"0000c9fc","FUN_0000c9fc",$a,0000030c,".text"
"00011a80","FUN_00011a80",$a,00000098,".text"
"0000c904","FUN_0000c904",$a,00000050,".text"
"00015bb4","DAT_00015bb4",$d,00000001,".text"
