Location,Name,Mode,Size,Segment
"0000bff4","nnroControlObject_",$d,00000001,".text"
"0000c0a0","OnExit",$d,00000001,".text"
"00004b04","FUN_00004b04",$a,00000088,".text"
"0000c0a4","OnLoad",$d,00000001,".text"
"0000b0d8","FUN_0000b0d8",$a,0000003c,".text"
"00000180","FUN_001509dc",$d,00000001,".text"
"0000ae24","FUN_0000aab4_0000ae24",$a,0000028c,".text"
"00008d7c","FUN_00008d7c",$a,0000009c,".text"
"00004ce4","FUN_00004ce4",$a,00000090,".text"
"00003fd4","FUN_00003fd4",$a,000000d4,".text"
"0000aab4","FUN_0000aab4",$a,00000344,".text"
"0000c0a8","OnUnresolved",$d,00000001,".text"
"0000b0d4","FUN_0000b0d4",$a,00000004,".text"
"00007d84","FUN_00007d84",$a,000001c8,".text"
"0000841c","FUN_0000841c",$a,0000008c,".text"
"00009c88","FUN_00009c88",$a,000000c0,".text"
