Location,Name,Mode,Size,Segment
"0000c7bc","nnroControlObject_",$d,00000001,".text"
"0000a31c","FUN_0000a31c",$a,00000004,".text"
"0000c868","OnExit",$d,00000001,".text"
"0000c86c","OnLoad",$d,00000001,".text"
"00000180","FUN_001509dc",$d,00000001,".text"
"000062ec","FUN_000062ec",$a,00000628,".text"
"00005394","FUN_00005394",$a,0000012c,".text"
"0000a390","FUN_0000a390",$a,00000064,".text"
"00006960","FUN_000062ec_00006960",$a,0000033c,".text"
"00000b80","FUN_0000a390_00000b80",$a,00000004,".text"
"00000b58","FUN_0000a0e0_00000b58",$a,00000004,".text"
"0000a324","FUN_0000a324",$a,0000005c,".text"
"0000a320","FUN_0000a320",$a,00000004,".text"
"0000a210","FUN_0000a210",$a,000000f4,".text"
"0000606c","FUN_0000606c",$a,00000094,".text"
"0000c870","OnUnresolved",$d,00000001,".text"
"00000b50","FUN_0000a0e0_00000b50",$a,00000004,".text"
"00000b38","FUN_0000a210_00000b38",$a,00000004,".text"
"0000a0e0","FUN_0000a0e0",$a,0000010c,".text"
