Location,Name,Mode,Size,Segment
"00001264","FUN_00001264",$a,000000ec,".text"
"00003d84","nnroControlObject_",$d,00000001,".text"
"00003e30","OnExit",$d,00000001,".text"
"00003e34","OnLoad",$d,00000001,".text"
"00001480","FUN_00001480",$a,0000007c,".text"
"00000180","DAT_008872a2",$d,00000001,".text"
"00003e38","OnUnresolved",$d,00000001,".text"
"000013a4","FUN_000013a4",$a,00000088,".text"
"000011d8","FUN_000011d8",$a,00000070,".text"
"00003660","FUN_00003660",$a,000000bc,".text"
"00001354","FUN_00001354",$a,0000004c,".text"
