Location,Name,Mode,Size,Segment
"00011710","nnroControlObject_",$d,00000001,".text"
"000117bc","OnExit",$d,00000001,".text"
"00010bf0","FUN_00010bf0",$a,00000004,".text"
"000117c0","OnLoad",$d,00000001,".text"
"00000180","FUN_001509dc",$d,00000001,".text"
"000142f0","DAT_000142f0",$d,00000001,".text"
"000102c4","FUN_000102c4",$a,000000a0,".text"
"00008044","FUN_00008044",$a,000000b4,".text"
"0000f880","FUN_0000f880",$a,00000098,".text"
"000043fc","FUN_000043fc",$a,0000015c,".text"
"0000e030","FUN_0000e030",$a,0000004c,".text"
"00003388","FUN_00003388",$a,0000010c,".text"
"000087ac","FUN_000087ac",$a,00000070,".text"
"00004fc8","FUN_00004fc8",$a,000000a0,".text"
"00007a38","FUN_00007a38",$a,00000030,".text"
"00001a68","FUN_00001a68",$a,000000c8,".text"
"00001410","FUN_00010b58_00001410",$a,00000004,".text"
"00010b58","FUN_00010b58",$a,00000094,".text"
"000102b4","FUN_000102b4",$a,0000000c,".text"
"0000f870","FUN_0000f870",$a,0000000c,".text"
"000143a4","DAT_000143a4",$d,00000001,".text"
"0000f450","FUN_0000f450",$a,000001f4,".text"
"00005520","FUN_00005520",$a,0000003c,".text"
"00007bc8","FUN_00007bc8",$a,000000a8,".text"
"000117c4","OnUnresolved",$d,00000001,".text"
"0000cbec","FUN_0000cbec",$a,000000e4,".text"
"00006f70","FUN_00006f70",$a,00000030,".text"
"00010bf4","FUN_00010bf4",$a,00000060,".text"
"00007a68","FUN_00007a68",$a,00000020,".text"
