Location,Name,Mode,Size,Segment
"0001101c","nnroControlObject_",$d,00000001,".text"
"000110c8","OnExit",$d,00000001,".text"
"000110cc","OnLoad",$d,00000001,".text"
"0000fac4","FUN_0000fac4",$a,00000018,".text"
"0000d5b4","FUN_0000d5b4",$a,00000084,".text"
"0000f3a4","FUN_0000f3a4",$a,0000008c,".text"
"000101a0","FUN_000101a0",$a,00000194,".text"
"00003144","FUN_00003144",$a,000000bc,".text"
"00000180","FUN_00002cf4",$d,00000001,".text"
"0000cbd8","FUN_0000cbd8",$a,000001f0,".text"
"00010348","FUN_00010348",$a,00000420,".text"
"0000fe20","FUN_0000fe20",$a,000001f8,".text"
"0000e688","FUN_0000e688",$a,00000124,".text"
"00002118","FUN_00002118",$a,00000128,".text"
"000128a4","DAT_000128a4",$d,00000001,".text"
"00013008","DAT_00013008",$d,00000001,".text"
"000110d0","OnUnresolved",$d,00000001,".text"
"00010048","FUN_00010048",$a,00000124,".text"
"00012a0c","DAT_00012a0c",$d,00000001,".text"
"00010780","FUN_00010780",$a,0000009c,".text"
