Location,Name,Mode,Size,Segment
"00000780","thunk_FUN_00000304_00000780",$a,00000004,".text"
"00001de8","nnroControlObject_",$d,00000001,".text"
"00001c88","thunk_FUN_000005ec_00001c88",$a,00000004,".text"
"00000838","FUN_00000838",$a,0000007c,".text"
"00001e94","OnExit",$d,00000001,".text"
"00001e98","OnLoad",$d,00000001,".text"
"00001c7c","thunk_FUN_000005d4_00001c7c",$a,00000004,".text"
"00001c84","thunk_FUN_000005e4_00001c84",$a,00000004,".text"
"000005ec","FUN_000005ec",$a,00000004,".text"
"00001ac0","FUN_00001ac0",$a,00000040,".text"
"0000080c","FUN_0000080c",$a,00000014,".text"
"00000ba4","FUN_00000ba4",$a,00000048,".text"
"000005e4","FUN_000005e4",$a,00000004,".text"
"00005d64","DAT_00005d64",$d,00000001,".text"
"0000066c","thunk_FUN_000002e4_0000066c",$a,00000004,".text"
"000002e4","FUN_000002e4",$a,00000004,".text"
"00000180","DAT_00090824",$t,0000003e,".text"
"00000748","FUN_00000748",$a,00000030,".text"
"00000824","FUN_00000824",$a,00000010,".text"
"00000304","FUN_00000304",$a,00000004,".text"
"000006dc","FUN_000006dc",$a,00000064,".text"
"000005dc","FUN_000005dc",$a,00000004,".text"
"00000784","FUN_00000784",$a,00000038,".text"
"00001c80","thunk_FUN_000005dc_00001c80",$a,00000004,".text"
"00000670","FUN_00000670",$a,00000068,".text"
"0000331c","DAT_0000331c",$d,00000001,".text"
"00001e9c","OnUnresolved",$d,00000001,".text"
"000005d4","FUN_000005d4",$a,00000004,".text"
