Location,Name,Mode,Size,Segment
"00000180","FUN_0001f280",$d,00000001,".text"
"0000a668","nnroControlObject_",$d,00000001,".text"
"00009d7c","FUN_0000996c_00009d7c",$a,000002d4,".text"
"0000693c","FUN_0000693c",$a,000000f8,".text"
"00005e58","FUN_00005e58",$a,00000094,".text"
"0000a714","OnExit",$d,00000001,".text"
"0000a718","OnLoad",$d,00000001,".text"
"0000a71c","OnUnresolved",$d,00000001,".text"
"00007a4c","FUN_00007a4c",$a,000001ac,".text"
"00006f70","FUN_00006f70",$a,0000007c,".text"
"0000996c","FUN_0000996c",$a,000003d4,".text"
"000087b0","FUN_000087b0",$a,000000e0,".text"
"00004b78","FUN_00004b78",$a,00000088,".text"
