Location,Name,Mode,Size
"000098b8","FUN_000098b8",$a,00000018
"00000314","FUN_00000314",$a,00000004
"00000434","FUN_00000434",$a,00000004
"000003ac","FUN_000003ac",$a,00000004
"000004cc","FUN_000004cc",$a,00000004
"00000674","FUN_00000674",$a,00000004
"000005ec","FUN_000005ec",$a,00000004
"000043fc","FUN_000043fc",$a,000001b8
"00000794","FUN_00000794",$a,00000004
"00005e3c","FUN_00005e3c",$a,00000034
"000064c0","FUN_000064c0",$a,000000e4
"0000030c","FUN_0000030c",$a,00000004
"0000042c","FUN_0000042c",$a,00000004
"000002a4","FUN_000002a4",$a,00000004
"0000054c","FUN_0000054c",$a,00000004
"000003c4","FUN_000003c4",$a,00000004
"0000066c","FUN_0000066c",$a,00000004
"000004e4","FUN_000004e4",$a,00000004
"00000204","FUN_00000204",$a,00000004
"00000324","FUN_00000324",$a,00000004
"00000444","FUN_00000444",$a,00000004
"000003bc","FUN_000003bc",$a,00000004
"00000564","FUN_00000564",$a,00000004
"00000684","FUN_00000684",$a,00000004
"000005fc","FUN_000005fc",$a,00000004
"00003ae8","FUN_00003ae8",$a,000000e0
"00004a58","FUN_00004a58_00004a58",$a,000003b8
"0000031c","FUN_0000031c",$a,00000004
"0000043c","FUN_0000043c",$a,00000004
"000002b4","FUN_000002b4",$a,00000004
"0000055c","FUN_0000055c",$a,00000004
"000003d4","FUN_000003d4",$a,00000004
"0000067c","FUN_0000067c",$a,00000004
"000004f4","FUN_000004f4",$a,00000004
"0000935c","nnroControlObject__0000935c",$a,00000014
"00000414","FUN_00000414",$a,00000004
"00000534","FUN_00000534",$a,00000004
"000004ac","FUN_000004ac",$a,00000004
"00000654","FUN_00000654",$a,00000004
"000005cc","FUN_000005cc",$a,00000004
"00000774","FUN_00000774",$a,00000004
"000006ec","FUN_000006ec",$a,00000004
"00001ed0","FUN_00001a64_00001ed0",$a,000000c4
"0000240c","switchD_00002404::switchdataD_0000240c",$d,00000004
"0000040c","FUN_0000040c",$a,00000004
"0000052c","FUN_0000052c",$a,00000004
"000003a4","FUN_000003a4",$a,00000004
"0000064c","FUN_0000064c",$a,00000004
"000004c4","FUN_000004c4",$a,00000004
"0000076c","FUN_0000076c",$a,00000004
"000005e4","FUN_000005e4",$a,00000004
"000006d4","FUN_00005d2c_000006d4",$a,00000004
"00005c04","FUN_00005c04",$a,000000ec
"00000304","FUN_00000304",$a,00000004
"00000424","FUN_00000424",$a,00000004
"00000544","FUN_00000544",$a,00000004
"000004bc","FUN_000004bc",$a,00000004
"00000664","FUN_00000664",$a,00000004
"000005dc","FUN_000005dc",$a,00000004
"00000784","FUN_00000784",$a,00000004
"000006fc","FUN_000006fc",$a,00000004
"00009384","nnroControlObject__00009384",$a,00000060
"0000041c","FUN_0000041c",$a,00000004
"0000053c","FUN_0000053c",$a,00000004
"000003b4","FUN_000003b4",$a,00000004
"0000065c","FUN_0000065c",$a,00000004
"000004d4","FUN_000004d4",$a,00000004
"0000077c","FUN_0000077c",$a,00000004
