Location,Name,Mode,Size,Segment
"00008648","DAT_00008648",$d,00000001,".text"
"00007324","nnroControlObject_",$d,00000001,".text"
"000073d0","OnExit",$d,00000001,".text"
"000073d4","OnLoad",$d,00000001,".text"
"000069a4","FUN_000069a4",$a,00000410,".text"
"00005a08","FUN_00005a08",$a,000000f0,".text"
"00004864","FUN_00004864",$a,000000cc,".text"
"000019e8","FUN_000019e8",$a,0000004c,".text"
"000017d8","FUN_000017d8",$a,00000014,".text"
"00006814","FUN_00006814",$a,0000016c,".text"
"000073d8","OnUnresolved",$d,00000001,".text"
"00004b84","FUN_00004b84",$a,00000018,".text"
"0000664c","FUN_0000664c",$a,00000068,".text"
"00000180","DAT_00090824",$d,00000001,".text"
