Location,Name,Mode,Size
"00004c14","nnroControlObject_",$a,00000088
"00000718","FUN_00000718",$a,00000004
"00000838","FUN_00000838",$a,00000004
"00000958","FUN_00000958",$a,00000004
"00004080","FUN_00004080",$a,000000a8
"00000678","FUN_00000678",$a,00000004
"00000798","FUN_00000798",$a,00000004
"00000710","FUN_00000710",$a,00000004
"00000830","FUN_00000830",$a,00000004
"00000950","FUN_00000950",$a,00000004
"00004e7c","FUN_00004e7c",$a,00000004
"00004760","FUN_00004760",$a,00000098
"00002bb0","FUN_00002bb0",$a,000003d8
"00000680","FUN_00000680",$a,00000004
"000006a8","FUN_000006a8",$a,00000004
"00004ce8","FUN_00004ce8",$a,0000009c
"000007c8","FUN_000007c8",$a,00000004
"000008e8","FUN_000008e8",$a,00000004
"000006a0","FUN_000006a0",$a,00000004
"000007c0","FUN_000007c0",$a,00000004
"0000054c","FUN_0000054c",$t,00000020
"000008e0","FUN_000008e0",$a,00000004
"00000608","FUN_00000608",$a,00000004
"00000728","FUN_00000728",$a,00000004
"00000848","FUN_00000848",$a,00000004
"00000968","FUN_00000968",$a,00000004
"00001e24","FUN_00001e24",$a,000000a8
"00002b18","FUN_00002b18",$a,00002308
"00000688","FUN_00000688",$a,00000004
"00000600","FUN_00000600",$a,00000004
"00000720","FUN_00000720",$a,00000004
"00000840","FUN_00000840",$a,00000004
"00000960","FUN_00000960",$a,00000004
"00002f8c","FUN_00002f8c",$a,00000250
"00000690","FUN_00000690",$a,00000004
"000006b8","FUN_000006b8",$a,00000004
"00001fe4","FUN_00001fe4",$a,00001804
"000007d8","FUN_000007d8",$a,00000004
"00004404","FUN_00004404",$a,00000060
"000008f8","FUN_000008f8",$a,00000004
"0000217c","FUN_0000217c",$a,00000060
"000006b0","FUN_000006b0",$a,00000004
"000011e8","FUN_000011e8",$a,00000a4c
"000007d0","FUN_000007d0",$a,00000004
"000008f0","FUN_000008f0",$a,00000004
"000010c4","FUN_000010c4",$a,00000120
"00000818","FUN_00000818",$a,00000004
"00000938","FUN_00000938",$a,00000004
"00004cc0","OnExit",$d,00000001
"00000658","FUN_00000658",$a,00000004
"00001c38","FUN_00001c38",$a,000000b4
"00000778","FUN_00000778",$a,00000004
"00000810","FUN_00000810",$a,00000004
"00000930","FUN_00000930",$a,00000004
"00004c28","switchD_00004c20::switchdataD_00004c28",$d,00000004
"00000650","FUN_00000650",$a,00000004
"00000770","FUN_00000770",$a,00000004
"00000780","FUN_00000780",$a,00000004
"000007a8","FUN_000007a8",$a,00000004
"00003fd4","FUN_00003fd4",$a,000000ac
"00003bd8","FUN_00003bd8",$a,000003f8
"000008c8","FUN_000008c8",$a,00000004
"000009e8","FUN_000009e8",$a,00000454
"00004338","FUN_00004338",$a,0000003c
"000005e8","FUN_000005e8",$a,00000004
"000007a0","FUN_000007a0",$a,00000004
"0000052c","FUN_0000052c",$t,00000020
"000008c0","FUN_000008c0",$a,00000004
"00003928","FUN_00003928",$a,00000280
"000005e0","FUN_000005e0",$a,00000004
"00000708","FUN_00000708",$a,00000004
"000027d0","FUN_000027d0",$a,00000120
"00000948","FUN_00000948",$a,00000004
"000046d4","FUN_000046d4",$a,0000004c
"000028f4","FUN_000028f4",$a,000000a0
"00000668","FUN_00000668",$a,00000004
"00000788","FUN_00000788",$a,00000004
"00000700","FUN_00000700",$a,00000004
"00000940","FUN_00000940",$a,00000004
"00004474","FUN_00004474",$a,0000025c
"00003200","switchD_000031f8::switchdataD_00003200",$d,00000004
"000020ec","FUN_000020ec",$a,00000070
"00001cf0","FUN_00001cf0",$a,00000130
"00000660","FUN_00000660",$a,00000004
"00000670","FUN_00000670",$a,00000004
"00000790","FUN_00000790",$a,00000004
"000007b8","FUN_000007b8",$a,00000004
"000008d8","FUN_000008d8",$a,00000004
"00004cc8","OnUnresolved",$d,00000001
"000005f8","FUN_000005f8",$a,00000004
"000007b0","FUN_000007b0",$a,00000004
"000008d0","FUN_000008d0",$a,00000004
"000031e4","FUN_000031e4",$a,00000740
"00004cc4","OnLoad",$d,00000001
"00000638","FUN_00000638",$a,00000004
"00000758","FUN_00000758",$a,00000004
"00000998","FUN_00000998",$a,00000004
"00000910","FUN_00000910",$a,00000004
"00000598","FUN_00000598",$a,00000004
"00000630","FUN_00000630",$a,00000004
"00000750","FUN_00000750",$a,00000004
"00000990","FUN_00000990",$a,00000004
"000020ac","FUN_000020ac",$a,0000003c
"00002ac8","FUN_00002ac8",$a,00000050
"000005c8","FUN_000005c8",$a,00000004
"00001204","switchD_000011fc::switchdataD_00001204",$d,00000004
"000006e8","FUN_000006e8",$a,00000004
"000009c0","FUN_000009c0",$a,00000004
"000005c0","FUN_000005c0",$a,00000004
"000006e0","FUN_000006e0",$a,00000004
"00000918","FUN_00000918",$a,00000004
"00000928","FUN_00000928",$a,00000004
"00000648","FUN_00000648",$a,00000004
"00000768","FUN_00000768",$a,00000004
"00000888","FUN_00000888",$a,00000004
"00000800","FUN_00000800",$a,00000004
"00000920","FUN_00000920",$a,00000004
"00000180","nnnstdMemCpy",$d,00000001
"000021ec","FUN_000021ec",$a,00001bb4
"00000640","FUN_00000640",$a,00000004
"00000760","FUN_00000760",$a,00000004
"00000880","FUN_00000880",$a,00000004
"00000890","FUN_00000890",$a,00000004
"000008b8","FUN_000008b8",$a,00000004
"000009d8","FUN_000009d8",$a,00000004
"000005d8","FUN_000005d8",$a,00000004
"000006f8","FUN_000006f8",$a,00000004
"00004728","FUN_00004728",$a,00000030
"00002428","FUN_00002428",$a,0000004c
"00000a94","switchD_00000a8c::switchdataD_00000a94",$d,00000004
"000008b0","FUN_000008b0",$a,00000004
"000009d0","FUN_000009d0",$a,00000004
"000005d0","FUN_000005d0",$a,00000004
"00000808","FUN_00000808",$a,00000004
"000006f0","FUN_000006f0",$a,00000004
"00000618","FUN_00000618",$a,00000004
"00002a04","FUN_00002a04",$a,00000034
"00000a68","FUN_00000a68",$a,00000360
"00000738","FUN_00000738",$a,00000004
"00000858","FUN_00000858",$a,00000004
"00000978","FUN_00000978",$a,00000004
"00002b28","FUN_00002b28",$a,0000005c
"00000578","FUN_00000578",$a,00000004
"00000698","FUN_00000698",$a,00000004
"00000610","FUN_00000610",$a,00000004
"00000730","FUN_00000730",$a,00000004
"00000850","FUN_00000850",$a,00000004
"00000970","FUN_00000970",$a,00000004
"00000df0","FUN_00000df0",$a,000002cc
"00001ed0","FUN_00001ed0",$a,000000a4
"00004378","FUN_00004378",$a,00000070
"00000580","FUN_00000580",$a,00000004
"000006c8","FUN_000006c8",$a,00000004
"000007e8","FUN_000007e8",$a,00000004
"000009a0","FUN_000009a0",$a,00000004
"000006c0","FUN_000006c0",$a,00000004
"00004d84","FUN_00004d84",$a,000000f8
"000007e0","FUN_000007e0",$a,00000004
"0000412c","FUN_0000412c",$a,000000dc
"00000628","FUN_00000628",$a,00000004
"000024b4","FUN_000024b4",$a,000000b0
"00000748","FUN_00000748",$a,00000004
"00000868","FUN_00000868",$a,00000004
"00000988","FUN_00000988",$a,00000004
"00000900","FUN_00000900",$a,00000004
"00000588","FUN_00000588",$a,00000004
"00000620","FUN_00000620",$a,00000004
"00000740","FUN_00000740",$a,00000004
"00000860","FUN_00000860",$a,00000004
"00004278","FUN_00004278",$a,00000048
"00000980","FUN_00000980",$a,00000004
"000009a8","FUN_000009a8",$a,00000004
"000009b8","FUN_000009b8",$a,00000004
"00000590","FUN_00000590",$a,00000004
"000005b8","FUN_000005b8",$a,00000004
"000006d8","FUN_000006d8",$a,00000004
"000007f8","FUN_000007f8",$a,00000004
"000009b0","FUN_000009b0",$a,00000004
"000005b0","FUN_000005b0",$a,00000004
"000006d0","FUN_000006d0",$a,00000004
"0000247c","FUN_0000247c",$a,00000030
"000007f0","FUN_000007f0",$a,00000004
