Location,Name,Mode,Size,Segment
"00027dd4","DAT_00027dd4",$d,00000001,".text"
"00022240","nnroControlObject_",$d,00000001,".text"
"0000ce54","FUN_0000ce54",$a,00000058,".text"
"00011d34","FUN_00011d34",$a,000000ac,".text"
"00026634","DAT_00026634",$d,00000001,".text"
"00028ac8","DAT_00028ac8",$d,00000001,".text"
"00018d78","FUN_00018d78",$a,000000d0,".text"
"0001960c","FUN_0001960c",$a,00000060,".text"
"00015d00","FUN_00015d00",$a,00000018,".text"
"0001b02c","FUN_0001b02c",$a,00000010,".text"
"0001ac30","FUN_0001ac30",$a,00000014,".text"
"0000f8d8","FUN_0001cba4_0000f8d8",$a,000000fc,".text"
"0002b208","DAT_0002b208",$d,00000001,".text"
"000297f8","DAT_000297f8",$d,00000001,".text"
"00007f98","FUN_00007f98",$a,00000018,".text"
"00000180","FUN_0003f010",$d,00000001,".text"
"00026e00","DAT_00026e00",$d,00000001,".text"
"000292ac","DAT_000292ac",$d,00000001,".text"
"00028d5c","DAT_00028d5c",$d,00000001,".text"
"0000cc04","FUN_0000cc04",$a,0000001c,".text"
"0001ee30","FUN_0001ee30",$a,00000030,".text"
"0001ec74","FUN_0001ec74",$a,0000004c,".text"
"0001ef50","FUN_0001ef50",$a,00000018,".text"
"0001c5d0","FUN_0001c5d0",$a,00000028,".text"
"0001ad98","FUN_0001acdc_0001ad98",$a,00000010,".text"
"0001d3e0","FUN_0001d3e0",$a,0000000c,".text"
"00047b94","DAT_00047b94",$d,00000001,".text"
"0001eb48","FUN_0001eb48",$a,00000014,".text"
"0000b114","FUN_0000b114",$a,00000128,".text"
"0002accc","DAT_0002accc",$d,00000001,".text"
"00019174","FUN_00019174",$a,000000cc,".text"
"0001d330","FUN_0001d330",$a,0000005c,".text"
"00028598","DAT_00028598",$d,00000001,".text"
"00047b8c","DAT_00047b8c",$d,00000001,".text"
"000222ec","OnExit",$d,00000001,".text"
"00027384","DAT_00027384",$d,00000001,".text"
"00026b6c","DAT_00026b6c",$d,00000001,".text"
"0000f9fc","FUN_0001ecc0_0000f9fc",$a,00000074,".text"
"00018508","FUN_00018508",$a,00000058,".text"
"000138c0","FUN_00007f98_000138c0",$a,000000d4,".text"
"000026a8","FUN_000026a8",$a,00000030,".text"
"00002674","FUN_00002674",$a,00000034,".text"
"00007844","FUN_00007844",$a,00000028,".text"
"00006fc4","FUN_00006fc4",$a,000002a8,".text"
"0001d3c4","FUN_0001d3c4",$a,00000018,".text"
"000197c8","FUN_000197c8",$a,00000060,".text"
"00029d38","DAT_00029d38",$d,00000001,".text"
"00002c84","FUN_00002c84",$a,00000030,".text"
"0001c6bc","FUN_0001c6bc",$a,0000004c,".text"
"0000ed9c","FUN_0000ed9c",$a,00000018,".text"
"00028068","DAT_00028068",$d,00000001,".text"
"000253ec","DAT_000253ec",$d,00000001,".text"
"00000a28","FUN_0001b02c_00000a28",$a,00000004,".text"
"000278ac","DAT_000278ac",$d,00000001,".text"
"0001ec50","FUN_0001ec50",$a,00000024,".text"
"00025918","DAT_00025918",$d,00000001,".text"
"00024708","DAT_00024708",$d,00000001,".text"
"00000958","FUN_0000ce54_00000958",$a,00000004,".text"
"0002a4f4","DAT_0002a4f4",$d,00000001,".text"
"00008668","FUN_00008668",$a,00000478,".text"
"00027b40","DAT_00027b40",$d,00000001,".text"
"000222f4","OnUnresolved",$d,00000001,".text"
"0001ecf4","FUN_0001ecf4",$a,00000134,".text"
"0001c580","FUN_0001c580",$a,0000004c,".text"
"0000a73c","FUN_0000a73c",$a,000002a0,".text"
"000222f0","OnLoad",$d,00000001,".text"
"0001cba4","FUN_0001cba4",$a,000000d0,".text"
"00024ec4","DAT_00024ec4",$d,00000001,".text"
"00029548","DAT_00029548",$d,00000001,".text"
"00009698","FUN_00009698",$a,00000118,".text"
"0002af60","DAT_0002af60",$d,00000001,".text"
"00007788","FUN_00007788",$a,000000b8,".text"
"0002b75c","DAT_0002b75c",$d,00000001,".text"
"0000c654","FUN_0000c654",$a,00000018,".text"
"00027094","DAT_00027094",$d,00000001,".text"
"0001a81c","FUN_0001a81c",$a,00000014,".text"
"00025bac","DAT_00025bac",$d,00000001,".text"
"0001a1ec","FUN_0001a1ec",$a,00000014,".text"
"000268c8","DAT_000268c8",$d,00000001,".text"
"0001c5fc","FUN_0001c5fc",$a,000000bc,".text"
"00026384","DAT_00026384",$d,00000001,".text"
"00007288","FUN_00007288",$a,0000030c,".text"
"0002b4a8","DAT_0002b4a8",$d,00000001,".text"
"0001d0c4","FUN_0001d0c4",$a,000000f8,".text"
"0001ad54","FUN_0001acdc_0001ad54",$a,00000030,".text"
"000260d4","DAT_000260d4",$d,00000001,".text"
"00018e48","FUN_00018e48",$a,0000004c,".text"
"00010650","FUN_00010200_00010650",$a,00000068,".text"
"0002aa38","DAT_0002aa38",$d,00000001,".text"
"0002a788","DAT_0002a788",$d,00000001,".text"
"0002499c","DAT_0002499c",$d,00000001,".text"
"00010200","FUN_00010200",$a,00000440,".text"
"00008e10","FUN_00008e10",$a,00000008,".text"
"0001afe4","FUN_0001afe4",$a,00000044,".text"
"00025684","DAT_00025684",$d,00000001,".text"
"000097b4","FUN_000097b4",$a,00000114,".text"
"00024470","DAT_00024470",$d,00000001,".text"
"0002a260","DAT_0002a260",$d,00000001,".text"
"00013b74","FUN_00007844_00013b74",$a,0000038c,".text"
"00028834","DAT_00028834",$d,00000001,".text"
"0001ee60","FUN_0001ee60",$a,000000e0,".text"
"00008620","FUN_00008620",$a,00000044,".text"
"00029fcc","DAT_00029fcc",$d,00000001,".text"
"0001ac58","FUN_0001ac58",$a,00000080,".text"
"00019360","FUN_00019360",$a,00000060,".text"
"0001cc78","FUN_0001cc78",$a,00000144,".text"
"00019240","FUN_00019240",$a,00000048,".text"
"0001ef6c","FUN_0001ef6c",$a,00000054,".text"
"00029a8c","DAT_00029a8c",$d,00000001,".text"
"0001ecc0","FUN_0001ecc0",$a,00000034,".text"
"00028ff0","DAT_00028ff0",$d,00000001,".text"
"000108d0","FUN_000108d0",$a,00000154,".text"
"0001c708","FUN_0001c708",$a,00000078,".text"
"0001d1c4","FUN_0001d1c4",$a,00000100,".text"
"00025158","DAT_00025158",$d,00000001,".text"
"00028304","DAT_00028304",$d,00000001,".text"
"00025e40","DAT_00025e40",$d,00000001,".text"
"00024c30","DAT_00024c30",$d,00000001,".text"
"00027618","DAT_00027618",$d,00000001,".text"
"0001acdc","FUN_0001acdc",$a,00000054,".text"
"00018ff0","FUN_00018ff0",$a,00000060,".text"
"0001d2cc","FUN_0001d2cc",$a,0000005c,".text"
"0001d3ec","FUN_0001d3ec",$a,0000000c,".text"
"000007a0","FUN_0001ec74_000007a0",$a,00000004,".text"
"00002c50","FUN_00002c50",$a,00000034,".text"
