Location,Name,Mode,Size,Segment
"0001855c","nnroControlObject_",$d,00000001,".text"
"00007f58","FUN_00007f58",$a,00000140,".text"
"00000180","DAT_0000a448",$a,00000004,".text"
"00018608","OnExit",$d,00000001,".text"
"00012d58","FUN_0001404c_00012d58",$a,000000e0,".text"
"0001860c","OnLoad",$d,00000001,".text"
"00013a58","FUN_00013a58",$a,000002e0,".text"
"00012a24","FUN_0001404c_00012a24",$a,000000c0,".text"
"000125a0","FUN_0001404c_000125a0",$a,00000404,".text"
"00009324","FUN_00009324",$a,000000f8,".text"
"0001404c","FUN_0001404c",$a,0000068c,".text"
"00013108","FUN_0001404c_00013108",$a,000005b8,".text"
"0000a540","FUN_0001404c_0000a540",$a,00000090,".text"
"00013804","FUN_00013804",$a,00000084,".text"
"0001d224","DAT_0001d224",$d,00000001,".text"
"00013e90","FUN_00013e90",$a,000000ac,".text"
"00004fb4","FUN_00004fb4",$a,00000190,".text"
"00013d90","FUN_00013d90",$a,000000ec,".text"
"00008a94","FUN_00008a94",$a,000000ac,".text"
"00018610","OnUnresolved",$d,00000001,".text"
"00013954","FUN_00013954",$a,00000090,".text"
"00012100","FUN_0001404c_00012100",$a,00000420,".text"
"00013710","FUN_00013710",$a,000000d8,".text"
"00013894","FUN_00013894",$a,000000a0,".text"
