Location,Name,Mode,Size,Segment
"00003b3c","FUN_00053944_00003b3c",$a,00000004,".text"
"0005e7a4","nnroControlObject_",$d,00000001,".text"
"00003b04","FUN_00053674_00003b04",$a,00000004,".text"
"00051e74","FUN_00051e74",$a,00000064,".text"
"00052e40","FUN_00052e40",$a,000000b0,".text"
"00051e70","FUN_00051e70",$a,00000004,".text"
"0003588c","FUN_0003588c",$a,00000108,".text"
"0005aaac","FUN_0005aaac",$a,00000090,".text"
"00009254","FUN_00009254",$a,000000cc,".text"
"00005e4c","FUN_00005e4c",$a,00000014,".text"
"00067698","DAT_00067698",$d,00000001,".text"
"00024094","FUN_00024094",$a,00000008,".text"
"00003b94","FUN_00052f08_00003b94",$a,00000004,".text"
"0005a498","FUN_0005a498",$a,0000004c,".text"
"0003edd0","FUN_0003edd0",$a,00000020,".text"
"00066b28","DAT_00066b28",$d,00000001,".text"
"00040100","FUN_00040100",$a,00000134,".text"
"00005c28","FUN_00005c28",$a,00000088,".text"
"0000a4c8","FUN_0000a4c8",$a,00000048,".text"
"00054f10","FUN_00054f10",$a,000000dc,".text"
"0005340c","FUN_0005340c",$a,00000004,".text"
"0001e708","FUN_0001e708",$a,000000d0,".text"
"00051354","FUN_00051354",$a,000002a4,".text"
"00053410","FUN_00053410",$a,00000004,".text"
"000560b0","FUN_000560b0",$a,00000038,".text"
"0000a5dc","FUN_0000a5dc",$a,00000048,".text"
"00005e60","FUN_00005e60",$a,00000010,".text"
"00053da8","FUN_00053da8",$a,00000004,".text"
"00053418","FUN_00053418",$a,0000008c,".text"
"00051910","FUN_00051910",$a,00000048,".text"
"0001e388","FUN_0001e388",$a,000000c4,".text"
"0001e9e8","FUN_0001e9e8",$a,000000d8,".text"
"00053414","FUN_00053414",$a,00000004,".text"
"00053534","FUN_00053534",$a,00000128,".text"
"00001fec","FUN_0001a458_00001fec",$a,00000004,".text"
"0001a458","FUN_0001a458",$a,0000003c,".text"
"000223bc","FUN_000223bc",$a,00000018,".text"
"000010c4","FUN_00055cd8_000010c4",$a,00000004,".text"
"000518b0","FUN_000518b0",$a,00000018,".text"
"00016eec","FUN_00016eec",$a,00000490,".text"
"00053dac","FUN_00053dac",$a,00000048,".text"
"00053ed4","FUN_00053ed4",$a,000000b0,".text"
"00003c2c","FUN_00052190_00003c2c",$a,00000004,".text"
"00005424","FUN_00005424",$a,00000084,".text"
"00003d14","FUN_00053ed4_00003d14",$a,00000004,".text"
"00051000","FUN_00051000",$a,0000017c,".text"
"0003eefc","FUN_0003eefc",$a,00000030,".text"
"0001fe68","FUN_0001fe68",$a,000000c8,".text"
"0001eac4","FUN_0001eac4",$a,000000d0,".text"
"000657d4","DAT_000657d4",$d,00000001,".text"
"000023bc","FUN_000223bc_000023bc",$a,00000004,".text"
"0003edf0","FUN_0003edf0",$a,0000004c,".text"
"00003d74","FUN_00054488_00003d74",$a,00000004,".text"
"000532a4","FUN_000532a4",$a,00000004,".text"
"00003d6c","FUN_00054270_00003d6c",$a,00000004,".text"
"00053e40","FUN_00053e40",$a,0000003c,".text"
"00066bfc","DAT_00066bfc",$d,00000001,".text"
"000532a8","FUN_000532a8",$a,00000004,".text"
"000545d8","FUN_000545d8",$a,00000190,".text"
"0005596c","FUN_0005596c",$a,0000010c,".text"
"00053674","FUN_00053674",$a,00000134,".text"
"00066c6c","DAT_00066c6c",$d,00000001,".text"
"000518ac","FUN_000518ac",$a,00000004,".text"
"0002048c","FUN_0002048c",$a,00000018,".text"
"000137cc","FUN_000137cc",$a,00000098,".text"
"00051a0c","FUN_00051a0c",$a,000001dc,".text"
"0001d030","FUN_0001d030",$a,000000c4,".text"
"0001e878","FUN_0001e878",$a,00000164,".text"
"0005e854","OnLoad",$d,00000001,".text"
"00024208","FUN_00024208",$a,0000001c,".text"
"000010dc","FUN_00005cf8_000010dc",$a,00000004,".text"
"00006bb0","FUN_00006bb0",$a,00000020,".text"
"00055f98","FUN_00055f98",$a,000000ec,".text"
"00040fe0","FUN_00040fe0",$a,000000b0,".text"
"0001f280","FUN_0001f280",$a,000003f0,".text"
"00003bfc","FUN_00051e74_00003bfc",$a,00000004,".text"
"00005cf8","FUN_00005cf8",$a,00000048,".text"
"00051ed8","FUN_00051ed8",$a,00000004,".text"
"0000a918","FUN_0000a918",$a,000000c8,".text"
"00003b6c","FUN_00053140_00003b6c",$a,00000004,".text"
"00055cd8","FUN_00055cd8",$a,0000000c,".text"
"000242b4","FUN_000242b4",$a,00000040,".text"
"0001e624","FUN_0001e624",$a,00000080,".text"
"00053a68","FUN_00053a68",$a,00000004,".text"
"0000bf54","FUN_0000bf54",$a,000000ac,".text"
"0001e6bc","FUN_0001e6bc",$a,0000004c,".text"
"0003ef2c","FUN_0003ef2c",$a,0000001c,".text"
"0001e7dc","FUN_0001e7dc",$a,0000008c,".text"
"0000158c","FUN_00052b20_0000158c",$a,00000004,".text"
"00054270","FUN_00054270",$a,000001a8,".text"
"00009fb4","FUN_00009fb4",$a,0000001c,".text"
"00051c04","FUN_00051c04",$a,000000a4,".text"
"00020630","FUN_00020630",$a,00000050,".text"
"00051edc","FUN_00051edc",$a,00000004,".text"
"00053fa0","FUN_00053fa0",$a,00000090,".text"
"00051ee0","FUN_00051ee0",$a,00000004,".text"
"00052088","FUN_00052088",$a,000000f4,".text"
"00001804","FUN_0000de28_00001804",$a,00000004,".text"
"000204a8","FUN_000204a8",$a,00000018,".text"
"00055ce4","FUN_00055ce4",$a,00000294,".text"
"00051ee8","FUN_00051ee8",$a,00000024,".text"
"00051ee4","FUN_00051ee4",$a,00000004,".text"
"00052e28","FUN_00052e28",$a,00000018,".text"
"00005d4c","FUN_00005d4c",$a,00000048,".text"
"00052e24","FUN_00052e24",$a,00000004,".text"
"00052410","FUN_00052410",$a,0000032c,".text"
"00051cb0","FUN_00051cb0",$a,000000e0,".text"
"00001014","FUN_0003edd0_00001014",$a,00000004,".text"
"00054034","FUN_00054034",$a,000000b8,".text"
"00055000","FUN_00055000",$a,00000340,".text"
"00055364","FUN_00055364",$a,00000250,".text"
"00005e70","FUN_00005e70",$a,0000003c,".text"
"0001a494","FUN_0001a494",$a,00000058,".text"
"00052da4","FUN_00052da4",$a,00000074,".text"
"0005386c","FUN_0005386c",$a,000000a0,".text"
"00058e18","FUN_00058e18",$a,00000154,".text"
"000534a8","FUN_000534a8",$a,00000078,".text"
"00043a2c","FUN_00043a2c",$a,00000004,".text"
"00053ea0","FUN_00053ea0",$a,00000034,".text"
"0003ef54","FUN_0003ef54",$a,000000a8,".text"
