Location,Name,Mode,Size
"00000180","FUN_000063f4_00000180",$t,0000005c
"000001e4","|static|_DAT_009506b0_000001e4",$d,00000000
"000001e8","|static|_DAT_009506b4_000001e8",$d,00000000
"000001ec","FUN_000001ec",$t,00000030
"00000238","FUN_00000238",$t,00000030
"0000026c","|static|_DAT_0094fd3c_0000026c",$d,00000000
"00000270","FUN_00000270",$a,00000004
"00000274","|static|_FUN_0030403c_00000274",$d,00000000
"00000278","FUN_00000278",$a,00000004
"0000027c","|static|_INVALID_|static|_TEXT:002040cd_0000027c",$d,00000000
"00000280","FUN_00000280",$a,00000004
"00000284","|static|_FUN_00747b34_00000284",$d,00000000
"00000288","FUN_00000288",$a,00000004
"0000028c","|static|_FUN_006dfde8_0000028c",$d,00000000
"00000290","FUN_00000290",$a,00000004
"00000294","|static|_FUN_002fb328_00000294",$d,00000000
"00000298","FUN_00000298",$a,00000004
"0000029c","|static|_FUN_00605024_0000029c",$d,00000000
"000002a0","FUN_000002a0",$a,00000004
"000002a4","|static|_INVALID_|static|_TEXT:0020081d_000002a4",$d,00000000
"000002ac","|static|_INVALID_|static|_TEXT:0000c6b1_000002ac",$d,00000000
"000002b0","FUN_000002b0",$a,00000004
"000002b4","|static|_INVALID_|static|_TEXT:00204101_000002b4",$d,00000000
"000002b8","FUN_000002b8",$a,00000004
"000002bc","|static|_FUN_003041bc_000002bc",$d,00000000
"000002c0","FUN_000002c0",$a,00000004
"000002c4","|static|_FUN_007559ac_000002c4",$d,00000000
"000002c8","FUN_000002c8",$a,00000004
"000002cc","|static|_FUN_00755a98_000002cc",$d,00000000
"000002d0","FUN_000002d0",$a,00000004
"000002d4","|static|_FUN_00300904_000002d4",$d,00000000
"000002d8","FUN_000002d8",$a,00000004
"000002dc","|static|_FUN_0075596c_000002dc",$d,00000000
"000002e0","FUN_000002e0",$a,00000004
"000002e4","|static|_FUN_00755a8c_000002e4",$d,00000000
"000002e8","FUN_000002e8",$a,00000004
"000002ec","|static|_FUN_00755a68_000002ec",$d,00000000
"000002f0","FUN_000002f0",$a,00000004
"000002f4","|static|_FUN_0022faec_000002f4",$d,00000000
"000002f8","FUN_000002f8",$a,00000004
"000002fc","|static|_FUN_0022fb74_000002fc",$d,00000000
"00000300","FUN_00000300",$a,00000004
"00000304","|static|_FUN_0075aac8_00000304",$d,00000000
"00000308","FUN_00000308",$a,00000004
"0000030c","|static|_FUN_0058660c_0000030c",$d,00000000
"00000310","FUN_00000310",$a,00000004
"00000314","|static|_FUN_00584e6c_00000314",$d,00000000
"00000318","FUN_00000318",$a,00000004
"0000031c","|static|_FUN_002933cc_0000031c",$d,00000000
"00000320","FUN_00000320",$a,00000004
"00000324","|static|_FUN_002fb94c_00000324",$d,00000000
"00000328","FUN_00000328",$a,00000004
"0000032c","|static|_FUN_00236644_0000032c",$d,00000000
"00000330","FUN_00000330",$a,00000004
"00000334","|static|_FUN_005dd688_00000334",$d,00000000
"00000338","FUN_00000338",$a,00000004
"0000033c","|static|_FUN_00603e70_0000033c",$d,00000000
"00000340","FUN_00000340",$a,00000004
"00000344","|static|_FUN_00759b18_00000344",$d,00000000
"00000348","FUN_00000348",$a,00000004
"0000034c","|static|_FUN_00305f44_0000034c",$d,00000000
"00000350","FUN_00000350",$a,00000004
"00000354","|static|_FUN_0020e7f8_00000354",$d,00000000
"00000358","FUN_00000358",$a,00000004
"0000035c","|static|_FUN_0060be28_0000035c",$d,00000000
"00000360","FUN_00000360",$a,00000004
"00000364","|static|_FUN_007d0d14_00000364",$d,00000000
"00000368","FUN_00000368",$a,00000004
"0000036c","|static|_FUN_003504fc_0000036c",$d,00000000
"00000370","FUN_00000370",$a,00000004
"00000374","|static|_FUN_0029d960_00000374",$d,00000000
"00000378","FUN_00000378",$a,00000004
"0000037c","|static|_FUN_00713a70_0000037c",$d,00000000
"00000380","FUN_00000380",$a,00000004
"00000384","|static|_FUN_001509dc_00000384",$d,00000000
"00000388","FUN_00000388",$a,00000004
"0000038c","|static|_FUN_0023bf40_0000038c",$d,00000000
"00000390","FUN_00000390",$a,00000004
"00000394","|static|_FUN_00755ab4_00000394",$d,00000000
"00000398","FUN_00000398",$a,00000004
"0000039c","|static|_FUN_00746fc8_0000039c",$d,00000000
"000003a0","FUN_000003a0",$a,00000004
"000003a4","|static|_FUN_00720224_000003a4",$d,00000000
"000003a8","FUN_000003a8",$a,00000004
