Location,Name,Mode,Size,Segment
"00001cec","FUN_00001cec",$a,00000394,".text"
"00002fbc","nnroControlObject_",$d,00000001,".text"
"000020a4","FUN_000020a4",$a,00000030,".text"
"00001ccc","FUN_00001ccc",$a,00000020,".text"
"00000f7c","FUN_00000f08_00000f7c",$a,00000004,".text"
"00000abc","FUN_00000abc",$a,00000034,".text"
"00003068","OnExit",$d,00000001,".text"
"0000306c","OnLoad",$d,00000001,".text"
"000009ac","FUN_000009ac",$a,0000010c,".text"
"00000910","FUN_00000910",$a,00000094,".text"
"00000810","FUN_00000810",$a,00000054,".text"
"00002a9c","FUN_00002a9c",$a,000000bc,".text"
"00001420","FUN_00001420",$a,00000118,".text"
"00000f08","FUN_00000f08",$a,00000018,".text"
"000020d8","FUN_00000abc_000020d8",$a,0000021c,".text"
"000043d0","DAT_000043d0",$d,00000001,".text"
"00001b44","FUN_00001420_00001b44",$a,00000024,".text"
"00000180","DAT_0000a448",$t,000000bc,".text"
"00007800","DAT_00007800",$d,00000001,".text"
"0000231c","FUN_0000231c",$a,00000044,".text"
"00000868","FUN_00000868",$a,00000064,".text"
"00002e18","FUN_00002e18",$a,00000038,".text"
"00000414","FUN_00000810_00000414",$a,00000004,".text"
"00000ef8","FUN_00000ef8",$a,00000010,".text"
"0000061c","FUN_0000061c",$a,00000004,".text"
"00003070","OnUnresolved",$d,00000001,".text"
"000020d4","thunk_FUN_0000061c_000020d4",$a,00000004,".text"
"00000614","FUN_000020a4_00000614",$a,00000004,".text"
"00001c70","FUN_00001420_00001c70",$a,00000008,".text"
"000016d4","FUN_00001420_000016d4",$a,00000464,".text"
"00002e50","FUN_00002e50",$a,0000011c,".text"
