Location,Name,Mode,Size,Segment
"000e16d4","DAT_000e16d4",$d,00000001,".text"
"000d70f8","nnroControlObject_",$d,00000001,".text"
"00070ed8","FUN_00070ed8",$a,00000064,".text"
"0007877c","FUN_0007877c",$a,00000158,".text"
"000114f8","FUN_000114f8",$a,00000008,".text"
"0001179c","FUN_0001179c",$a,000000a0,".text"
"0002e880","FUN_0002e880",$a,0000003c,".text"
"000113d4","FUN_000113d4",$a,00000008,".text"
"000a3a2c","FUN_000a3a2c",$a,0000005c,".text"
"000114f0","FUN_000114f0",$a,00000008,".text"
"0007e17c","FUN_0007e17c",$a,00000068,".text"
"0007a944","FUN_0007a944",$a,000000c8,".text"
"0003a368","FUN_0003a368",$a,00000324,".text"
"000e3928","DAT_000e3928",$d,00000001,".text"
"0007e104","FUN_0007e104",$a,00000068,".text"
"000e5380","DAT_000e5380",$d,00000001,".text"
"000e0f30","DAT_000e0f30",$d,00000001,".text"
"000e05d4","DAT_000e05d4",$d,00000001,".text"
"0002fc24","FUN_0002fc24",$a,00000104,".text"
"00017828","FUN_00017828",$a,00000064,".text"
"000dfe50","DAT_000dfe50",$d,00000001,".text"
"00080bd4","FUN_00080bd4",$a,0000005c,".text"
"0006f854","FUN_0006f854",$a,00000034,".text"
"000113e4","FUN_000113e4",$a,00000008,".text"
"0001c74c","FUN_0001c74c",$a,0000020c,".text"
"0009e460","FUN_0009e460",$a,0000005c,".text"
"000e1cc8","DAT_000e1cc8",$d,00000001,".text"
"000e237c","DAT_000e237c",$d,00000001,".text"
"00033188","FUN_00033188",$a,00000140,".text"
"00083f24","FUN_00083f24",$a,0000001c,".text"
"000e1e10","DAT_000e1e10",$d,00000001,".text"
"000d71a4","OnExit",$d,00000001,".text"
"00001744","FUN_00001744",$a,00000060,".text"
"000e0c08","DAT_000e0c08",$d,00000001,".text"
"000e0684","DAT_000e0684",$d,00000001,".text"
"000e1d6c","DAT_000e1d6c",$d,00000001,".text"
"000a0188","FUN_000a0188",$a,0000002c,".text"
"000b7330","FUN_000b7330",$a,0000001c,".text"
"000e107c","DAT_000e107c",$d,00000001,".text"
"000455d0","FUN_000455d0",$a,00000040,".text"
"0007dfc0","FUN_0007dfc0",$a,00000034,".text"
"00011540","FUN_00011540",$a,00000018,".text"
"00120550","DAT_00120550",$d,00000001,".text"
"000e0b64","DAT_000e0b64",$d,00000001,".text"
"00011164","FUN_00011164",$a,000000a4,".text"
"00028b44","FUN_00028b44",$a,000001c8,".text"
"000e081c","DAT_000e081c",$d,00000001,".text"
"000dfb14","DAT_000dfb14",$d,00000001,".text"
"000e1120","DAT_000e1120",$d,00000001,".text"
"0008b664","FUN_0008b664",$a,00000020,".text"
"00077190","FUN_00077190",$a,0000016c,".text"
"0009e168","FUN_0009e168",$a,0000001c,".text"
"000dfbb8","DAT_000dfbb8",$d,00000001,".text"
"00000520","FUN_00070460_00000520",$a,00000004,".text"
"0008029c","FUN_0008029c",$a,0000001c,".text"
"000e0788","DAT_000e0788",$d,00000001,".text"
"000d71bc","OnUnresolved",$d,00000001,".text"
"000b0dac","FUN_000b0dac",$a,0000001c,".text"
"0002387c","FUN_0002387c",$a,00000298,".text"
"00017118","FUN_00017118",$a,0000004c,".text"
"000df8c4","DAT_000df8c4",$d,00000001,".text"
"000e181c","DAT_000e181c",$d,00000001,".text"
"000d71a8","OnLoad",$d,00000001,".text"
"000dfd00","DAT_000dfd00",$d,00000001,".text"
"0006f940","FUN_0006f940",$a,00000020,".text"
"000116f4","FUN_000116f4",$a,000000a0,".text"
"00081888","FUN_00081888",$a,00000044,".text"
"00000180","strlen",$d,00000001,".text"
"0001228c","FUN_0001228c",$a,00000048,".text"
"00033c84","FUN_00033c84",$a,00000110,".text"
"00082c20","FUN_00082c20",$a,000000b4,".text"
"0007e09c","FUN_0007e09c",$a,00000058,".text"
"0007e1f0","FUN_0007e1f0",$a,00000040,".text"
"00070460","FUN_00070460",$a,00000040,".text"
"0002ff40","FUN_0002ff40",$a,00000060,".text"
"00028eac","FUN_00028eac",$a,00000028,".text"
"0002ae94","FUN_0002ae94",$a,000000a8,".text"
"0003f988","FUN_0003f988",$a,00000064,".text"
"000057a4","FUN_000057a4",$a,00000278,".text"
"000e1778","DAT_000e1778",$d,00000001,".text"
"00045e40","FUN_00045e40",$a,0000007c,".text"
"0004578c","FUN_0004578c",$a,0000001c,".text"
"00044f94","FUN_00044f94",$a,00000028,".text"
"0002b1b4","FUN_0002b1b4",$a,0000004c,".text"
"00012044","FUN_00012044",$a,00000020,".text"
"000e24c4","DAT_000e24c4",$d,00000001,".text"
"00085b3c","FUN_00085b3c",$a,0000001c,".text"
"000e52ec","DAT_000e52ec",$d,00000001,".text"
"00013fcc","FUN_00013fcc",$a,0000023c,".text"
"000e2420","DAT_000e2420",$d,00000001,".text"
"000e02dc","DAT_000e02dc",$d,00000001,".text"
"000e2be8","DAT_000e2be8",$d,00000001,".text"
"00011504","FUN_00011504",$a,00000018,".text"
"000e0238","DAT_000e0238",$d,00000001,".text"
"00045690","FUN_00045690",$a,000000c4,".text"
"00016ac0","FUN_00016ac0",$a,00000200,".text"
"000123ac","FUN_000123ac",$a,00000008,".text"
"000e2b44","DAT_000e2b44",$d,00000001,".text"
"000113dc","FUN_000113dc",$a,00000008,".text"
"0007f184","FUN_0007f184",$a,000000ac,".text"
"000e09b0","DAT_000e09b0",$d,00000001,".text"
"0002a41c","FUN_0002a41c",$a,00000024,".text"
"00045210","FUN_00045210",$a,00000150,".text"
"0008dcf4","FUN_0008dcf4",$a,00000064,".text"
"00012324","FUN_00012324",$a,00000030,".text"
"000dfc5c","DAT_000dfc5c",$d,00000001,".text"
"0007915c","FUN_0007915c",$a,0000009c,".text"
"0000e808","FUN_0000e808",$a,0000021c,".text"
"000e37e0","DAT_000e37e0",$d,00000001,".text"
