Location,Name,Mode,Size,Segment
"000054f8","FUN_000054f8",$a,00000050,".text"
"0001e748","nnroControlObject_",$d,00000001,".text"
"0001e7f8","OnLoad",$d,00000001,".text"
"0000ad10","FUN_0000ad10",$a,00000064,".text"
"00007030","FUN_00007030",$a,0000009c,".text"
"000089c8","FUN_000089c8",$a,00000064,".text"
"0000b1c4","FUN_0000b1c4",$a,00000088,".text"
"0001738c","FUN_0001738c",$a,00000050,".text"
"00006cd0","FUN_00006cd0",$a,00000080,".text"
"00006104","FUN_00006104",$a,00000050,".text"
"00013a78","FUN_00013a78",$a,00000050,".text"
"00014e54","FUN_00014e54",$a,00000098,".text"
"00002b2c","FUN_00002b2c",$a,0000006c,".text"
"0000a8cc","FUN_0000a8cc",$a,00000058,".text"
"0000a474","FUN_0000a474",$a,0000005c,".text"
"00003e70","FUN_00003e70",$a,0000004c,".text"
"0000345c","FUN_0000345c",$a,00000050,".text"
"00013320","FUN_00013320",$a,00000070,".text"
"00001b44","FUN_00001b44",$a,00000090,".text"
"0000c4a4","FUN_0000c4a4",$a,00000068,".text"
"00014450","FUN_00014450",$a,00000080,".text"
"0000b73c","FUN_0000b73c",$a,00000074,".text"
"000023f8","FUN_000023f8",$a,0000008c,".text"
"00014be0","FUN_00014be0",$a,00000080,".text"
"000037c8","FUN_000037c8",$a,00000084,".text"
"00002074","FUN_00002074",$a,0000008c,".text"
"00016ddc","FUN_00016ddc",$a,0000007c,".text"
"000151a4","FUN_000151a4",$a,0000008c,".text"
"00006824","FUN_00006824",$a,00000098,".text"
"00004d70","FUN_00004d70",$a,00000040,".text"
"00019cc0","FUN_00019cc0",$a,00000050,".text"
"00009d48","FUN_00009d48",$a,00000050,".text"
"0000972c","FUN_0000972c",$a,00000090,".text"
"00017630","FUN_00017630",$a,00000084,".text"
"0000411c","FUN_0000411c",$a,0000007c,".text"
"0001e7f4","OnExit",$d,00000001,".text"
"0000c1d8","FUN_0000c188_0000c1d8",$a,00000134,".text"
"000192e0","FUN_000192e0",$a,00000050,".text"
"000028a0","FUN_000028a0",$a,00000098,".text"
"00000180","FUN_0001e458",$d,00000001,".text"
"0000bad4","FUN_0000bad4",$a,00000080,".text"
"0000a010","FUN_0000a010",$a,0000009c,".text"
"000093ec","FUN_000093ec",$a,00000050,".text"
"000147e4","FUN_000147e4",$a,00000068,".text"
"0001667c","FUN_0001667c",$a,0000009c,".text"
"00013f74","FUN_00013f74",$a,000000a4,".text"
"00000cc0","FUN_00000cc0",$a,0000004c,".text"
"00005984","FUN_00005984",$a,000000a4,".text"
"00001e5c","FUN_00001e5c",$a,0000004c,".text"
"0000b420","FUN_0000b420",$a,000000a4,".text"
"00019880","FUN_00019880",$a,000000b8,".text"
"0000bf94","FUN_0000bf94",$a,00000068,".text"
"00016010","FUN_00016010",$a,00000090,".text"
"0000185c","FUN_0000185c",$a,0000004c,".text"
"00004cfc","FUN_00004cfc",$a,00000068,".text"
"000047b0","FUN_000047b0",$a,00000048,".text"
"00008390","FUN_00008390",$a,00000088,".text"
"000076c4","FUN_000076c4",$a,00000078,".text"
"000153fc","FUN_000153fc",$a,00000070,".text"
"00002e10","FUN_00002e10",$a,00000070,".text"
"0000c188","FUN_0000c188",$a,00000038,".text"
"00001314","FUN_00001314",$a,000000a4,".text"
"00015b10","FUN_00015b10",$a,00000064,".text"
"00008e2c","FUN_00008e2c",$a,000000b0,".text"
"00004aa0","FUN_00004aa0",$a,00000090,".text"
"0000dae0","FUN_0000dae0",$a,000000d4,".text"
"000164a4","FUN_000164a4",$a,0000004c,".text"
"000167c8","FUN_000167c8",$a,00000014,".text"
"0001e7fc","OnUnresolved",$d,00000001,".text"
"0001a160","FUN_0001a160",$a,00000090,".text"
"000074c4","FUN_000074c4",$a,0000004c,".text"
