Location,Name,Mode,Size,Segment
"00000188","FUN_00000d28_00000188",$a,00000004,".text"
"00000f20","nnroControlObject_",$d,00000001,".text"
"00000fcc","OnExit",$d,00000001,".text"
"00000ccc","FUN_00000ccc",$a,00000028,".text"
"00000fd0","OnLoad",$d,00000001,".text"
"00000a14","FUN_00000a14",$a,0000001c,".text"
"00000fd4","OnUnresolved",$d,00000001,".text"
"00000dd8","FUN_00000dd8",$a,0000001c,".text"
"00000d28","FUN_00000d28",$a,00000028,".text"
"00002478","DAT_00002478",$d,00000001,".text"
"00000180","DAT_00003044",$a,00000004,".text"
"000023dc","DAT_000023dc",$d,00000001,".text"
