Location,Name,Mode,Size,Segment
"0000c71c","FUN_0000c71c",$a,00000008,".text"
"0001498c","nnroControlObject_",$d,00000001,".text"
"0000781c","FUN_0000781c",$a,000000d0,".text"
"000106a8","FUN_000106a8",$a,00000008,".text"
"00014a3c","OnLoad",$d,00000001,".text"
"00007dc4","FUN_00007dc4",$a,000000b4,".text"
"000012dc","FUN_000012dc",$a,00000008,".text"
"000016b8","FUN_000016b8",$a,00000090,".text"
"0000f600","FUN_0000f600",$a,00000008,".text"
"00003c70","FUN_00003c70",$a,00000090,".text"
"0000066c","FUN_0000066c",$a,00000008,".text"
"000109b8","FUN_000109b8",$a,00000098,".text"
"0000f968","FUN_0000f968",$a,000000a8,".text"
"00005bcc","FUN_00005bcc",$a,00000090,".text"
"0000d8b4","FUN_0000d8b4",$a,00000008,".text"
"0000d4b8","FUN_0000d4b8",$a,00000118,".text"
"0000398c","FUN_0000398c",$a,00000008,".text"
"00000c98","FUN_00000c98",$a,00000008,".text"
"00002590","FUN_00002590",$a,00000008,".text"
"0000e4fc","FUN_0000e4fc",$a,00000008,".text"
"00004130","FUN_00004130",$a,00000008,".text"
"00001970","FUN_00001970",$a,00000008,".text"
"00006674","FUN_00006674",$a,000000d0,".text"
"00009a20","FUN_00009a20",$a,00000008,".text"
"00008328","FUN_00008328",$a,00000008,".text"
"00005d2c","FUN_00005d2c",$a,00000008,".text"
"000091a0","FUN_000091a0",$a,00000008,".text"
"00010ef0","FUN_00010ef0",$a,00000008,".text"
"0000c968","FUN_0000c968",$a,0000009c,".text"
"00008cac","FUN_00008cac",$a,000000b0,".text"
"00011530","FUN_00011530",$a,00000008,".text"
"00014a38","OnExit",$d,00000001,".text"
"0000dc04","FUN_0000dc04",$a,00000094,".text"
"0000fff4","FUN_0000fff4",$a,00000084,".text"
"00000180","FUN_0001e458",$d,00000001,".text"
"0000df64","FUN_0000df64",$a,0000008c,".text"
"0000cf8c","FUN_0000cf8c",$a,00000008,".text"
"00006240","FUN_00006240",$a,00000008,".text"
"0000ef38","FUN_0000ef38",$a,00000008,".text"
"00003650","FUN_00003650",$a,000000e0,".text"
"00007b2c","FUN_00007b2c",$a,00000008,".text"
"00005700","FUN_00005700",$a,000000b0,".text"
"0000f304","FUN_0000f304",$a,00000098,".text"
"000053f4","FUN_000053f4",$a,00000008,".text"
"00005e74","FUN_00005e74",$a,00000084,".text"
"0000eaf4","FUN_0000eaf4",$a,00000008,".text"
"000069d8","FUN_000069d8",$a,00000008,".text"
"0000ec3c","FUN_0000ec3c",$a,00000084,".text"
"0000c44c","FUN_0000c44c",$a,000000f0,".text"
"0001186c","FUN_0001186c",$a,000000c4,".text"
"00006e8c","FUN_00006e8c",$a,000000a4,".text"
"00000f14","FUN_00000f14",$a,00000090,".text"
"0001114c","FUN_0001114c",$a,00000094,".text"
"00009644","FUN_00009644",$a,000000ec,".text"
"00007388","FUN_00007388",$a,00000008,".text"
"00001b5c","FUN_00001b5c",$a,00000090,".text"
"00004620","FUN_00004620",$a,00000090,".text"
"0000e9bc","FUN_0000e9bc",$a,000000b0,".text"
"0000093c","FUN_0000093c",$a,000000a8,".text"
"00014a40","OnUnresolved",$d,00000001,".text"
"00004f90","FUN_00004f90",$a,000000b0,".text"
"00004acc","FUN_00004acc",$a,00000008,".text"
"0000dd60","FUN_0000dd60",$a,00000008,".text"
"00005a00","FUN_00005a00",$a,00000008,".text"
