Location,Name,Mode,Size,Segment
"00002840","nnroControlObject_",$d,00000001,".text"
"00000430","FUN_00002510_00000430",$a,00000004,".text"
"000028ec","OnExit",$d,00000001,".text"
"000028f0","OnLoad",$d,00000001,".text"
"00001d68","FUN_00001d68",$a,00000088,".text"
"000024d8","FUN_000024d8",$a,0000001c,".text"
"00000180","FUN_0001e458",$d,00000001,".text"
"00003284","DAT_00003284",$d,00000001,".text"
"00000478","FUN_00002608_00000478",$a,00000004,".text"
"000023dc","FUN_000023dc",$a,0000001c,".text"
"00002564","FUN_00002564",$a,000000a0,".text"
"00002510","FUN_00002510",$a,00000050,".text"
"00001d3c","FUN_00001d3c",$a,00000028,".text"
"000028f4","OnUnresolved",$d,00000001,".text"
"00000468","FUN_00002564_00000468",$a,00000004,".text"
"00002608","FUN_00002608",$a,00000054,".text"
"00000350","FUN_00001d3c_00000350",$a,00000004,".text"
