Location,Name,Mode,Size,Segment
"00082b5c","nnroControlObject_",$d,00000001,".text"
"0001a354","FUN_0001a354",$a,00000058,".text"
"0001eae8","FUN_0001eae8",$a,00000084,".text"
"0000393c","FUN_0000393c",$a,000001d4,".text"
"00037164","FUN_00037164",$a,00000090,".text"
"0000f684","FUN_0000f684",$a,00000014,".text"
"00009be4","FUN_00009be4",$a,0000025c,".text"
"000331c8","FUN_000331c8",$a,00000014,".text"
"00018094","FUN_00018094",$a,00000128,".text"
"0004adbc","FUN_0004adbc",$a,0000008c,".text"
"0003605c","FUN_0003605c",$a,000000a4,".text"
"00059084","FUN_00059084",$a,00000100,".text"
"00050a30","FUN_00050a30",$a,00000090,".text"
"0007dcfc","FUN_0007dcfc",$a,00000034,".text"
"000123b4","FUN_000123b4",$a,0000007c,".text"
"0000d254","FUN_0000d254",$a,00000090,".text"
"00097d28","DAT_00097d28",$d,00000001,".text"
"00014b78","FUN_00014b78",$a,00000054,".text"
"0003846c","FUN_0003846c",$a,00000010,".text"
"00052320","FUN_00052320",$a,00000094,".text"
"00019170","FUN_00019170",$a,00000024,".text"
"0000db44","FUN_0000db44",$a,00000084,".text"
"0005c4bc","FUN_0005c4bc",$a,00000094,".text"
"0004ae50","FUN_0004ae50",$a,00000010,".text"
"0002bc70","FUN_0002bc70",$a,0000005c,".text"
"000545c4","FUN_000545c4",$a,00000050,".text"
"000197ac","FUN_000197ac",$a,00000088,".text"
"00006f24","FUN_00006f24",$a,0000003c,".text"
"000055f8","FUN_000055f8",$a,0000005c,".text"
"0005faf0","FUN_0005faf0",$a,00000004,".text"
"00020020","FUN_00020020",$a,00000084,".text"
"0001e12c","FUN_0001e12c",$a,0000003c,".text"
"000026f0","FUN_00066058_000026f0",$a,00000004,".text"
"0003845c","FUN_0003845c",$a,00000010,".text"
"0005a0e0","FUN_0005a0e0",$a,0000000c,".text"
"0004ae64","FUN_0004ae64",$a,00000010,".text"
"00008bdc","FUN_00008bdc",$a,0000002c,".text"
"00054514","FUN_00054514",$a,000000a0,".text"
"00060004","FUN_0004adbc_00060004",$a,00000618,".text"
"000163ac","FUN_000163ac",$a,000000d8,".text"
"0007e690","FUN_0007e690",$a,00000008,".text"
"00066058","FUN_00066058",$a,0000006c,".text"
"0005a1e0","FUN_0005a1e0",$a,0000007c,".text"
"0007e31c","FUN_0007e31c",$a,00000014,".text"
"00079800","FUN_00079800",$a,000001b4,".text"
"0004ae78","FUN_0004ae78",$a,00000028,".text"
"00038ba8","FUN_00038ba8",$a,000000e8,".text"
"0007e698","FUN_0007e698",$a,00000094,".text"
"00097bc0","DAT_00097bc0",$d,00000001,".text"
"000501a0","FUN_000501a0",$a,00000084,".text"
"0003491c","FUN_0003491c",$a,00000100,".text"
"00082c0c","OnLoad",$d,00000001,".text"
"000018d0","FUN_0003845c_000018d0",$a,00000004,".text"
