Location,Name,Mode,Size,Segment
"00004cc4","nnroControlObject_",$d,00000001,".text"
"0000a448","DAT_0000a448",$d,00000001,".text"
"000045f8","FUN_000045f8",$a,00000030,".text"
"00004d70","OnExit",$d,00000001,".text"
"00003b58","FUN_00003b58",$a,00000130,".text"
"00004d74","OnLoad",$d,00000001,".text"
"00004280","FUN_00004280",$a,00000030,".text"
"00000838","FUN_00004280_00000838",$a,00000004,".text"
"00000180","FUN_0001e7dc",$d,00000001,".text"
"00004694","FUN_00004694",$a,000000a4,".text"
"000049a8","FUN_000049a8",$a,00000020,".text"
"00003984","FUN_00003984",$a,0000001c,".text"
"00004974","FUN_00004974",$a,00000030,".text"
"00003614","FUN_00003614",$a,00000060,".text"
"00004d78","OnUnresolved",$d,00000001,".text"
"00004738","FUN_00004738",$a,00000090,".text"
