Location,Name,Mode,Size
"00000180","FUN_0000c434_00000180",$t,0000005e
"000001ec","ModuleOutdoor_DAT_000db978_000001ec",$d,00000000
"000001f0","FUN_000001f0",$t,00000032
"00000228","FUN_00000228",$t,00000056
"00000284","|static|_DAT_00950148_00000284",$d,00000000
"00000288","FUN_00000288",$t,00000032
"000002c4","FUN_000002c4",$t,0000001a
"000002e0","FUN_000002e0",$t,00000036
"0000031c","|static|_DAT_00950148_0000031c",$d,00000000
"00000320","FUN_00000320",$t,00000088
"000003a8","|static|_DAT_0095013e_000003a8",$d,00000000
"000003b0","FUN_000003b0",$t,000000ce
"00000488","|static|_DAT_009506b0_00000488",$d,00000000
"0000048c","|static|_DAT_009506b4_0000048c",$d,00000000
"000004bc","FUN_000004bc",$t,0000003c
"0000050c","|static|_DAT_00952c3c_0000050c",$d,00000000
"00000514","FUN_00000514",$t,0000004c
"00000570","FUN_00000570",$t,00000026
"000005a0","FUN_000005a0",$a,00000004
"000005a4","|static|_FUN_0030403c_000005a4",$d,00000000
"000005a8","FUN_000005a8",$a,00000004
"000005ac","|static|_FUN_002fb94c_000005ac",$d,00000000
"000005b0","FUN_000005b0",$a,00000004
"000005b4","|static|_FUN_003041c8_000005b4",$d,00000000
"000005b8","FUN_000005b8",$a,00000004
"000005bc","|static|_FUN_005c28cc_000005bc",$d,00000000
"000005c0","FUN_000005c0",$a,00000004
"000005c4","|static|_INVALID_|static|_TEXT:002040cd_000005c4",$d,00000000
"000005c8","FUN_000005c8",$a,00000004
"000005cc","|static|_FUN_005c108c_000005cc",$d,00000000
"000005d0","FUN_000005d0",$a,00000004
"000005d4","|static|_INVALID_|static|_TEXT:0020081d_000005d4",$d,00000000
"000005d8","FUN_000005d8",$a,00000004
"000005dc","|static|_INVALID_|static|_TEXT:00204101_000005dc",$d,00000000
"000005e0","FUN_000005e0",$a,00000004
"000005e4","|static|_FUN_003041bc_000005e4",$d,00000000
"000005e8","FUN_000005e8",$a,00000004
"000005ec","|static|_FUN_005b4120_000005ec",$d,00000000
"000005f0","FUN_000005f0",$a,00000004
"000005f4","|static|_FUN_006d32d4_000005f4",$d,00000000
"000005f8","FUN_000005f8",$a,00000004
"000005fc","|static|_FUN_00304380_000005fc",$d,00000000
"00000600","FUN_00000600",$a,00000004
"00000604","|static|_INVALID_|static|_TEXT:00203e7d_00000604",$d,00000000
"00000608","FUN_00000608",$a,00000004
"0000060c","|static|_FUN_006fa76c_0000060c",$d,00000000
"00000610","FUN_00000610",$a,00000004
"00000614","|static|_FUN_006a6dbc_00000614",$d,00000000
"00000618","FUN_00000618",$a,00000004
"0000061c","|static|_FUN_0068ec64_0000061c",$d,00000000
"00000620","FUN_00000620",$a,00000004
"00000624","|static|_FUN_0068f048_00000624",$d,00000000
"00000628","FUN_00000628",$a,00000004
"0000062c","|static|_FUN_00594d8c_0000062c",$d,00000000
"00000630","FUN_00000630",$a,00000004
"00000634","|static|_FUN_00317a50_00000634",$d,00000000
"00000638","FUN_00000638",$a,00000004
"0000063c","|static|_FUN_00317a88_0000063c",$d,00000000
"00000640","FUN_00000640",$a,00000004
"00000644","|static|_FUN_004f11c0_00000644",$d,00000000
"00000648","FUN_00000648",$a,00000004
"0000064c","|static|_FUN_0031758c_0000064c",$d,00000000
"00000650","FUN_00000650",$a,00000004
"00000654","|static|_FUN_002f73b8_00000654",$d,00000000
"00000658","FUN_00000658",$a,00000004
"0000065c","|static|_FUN_004f1270_0000065c",$d,00000000
