Location,Name,Mode,Size,Segment
"000010cc","FUN_000010cc",$a,0000007c,".text"
"00005788","nnroControlObject_",$d,00000001,".text"
"00000180","strlen",$d,00000001,".text"
"00005834","OnExit",$d,00000001,".text"
"0000485c","FUN_0000485c",$a,0000008c,".text"
"00005838","OnLoad",$d,00000001,".text"
"0000583c","OnUnresolved",$d,00000001,".text"
"00003bf0","FUN_00003bf0",$a,000000a8,".text"
"00002194","FUN_00002194",$a,00000100,".text"
"0000532c","FUN_0000532c",$a,000000b4,".text"
"00003e6c","FUN_00003e6c",$a,000000d8,".text"
"0000a9f8","DAT_0000a9f8",$d,00000001,".text"
