Location,Name,Mode,Size,Segment
"00011630","nnroControlObject_",$d,00000001,".text"
"000116dc","OnExit",$d,00000001,".text"
"000116e0","OnLoad",$d,00000001,".text"
"0000f6b4","FUN_0000f6b4",$a,000000d8,".text"
"0000fdd4","FUN_0000fdd4",$a,00000084,".text"
"000098b8","FUN_000098b8",$a,00000094,".text"
"00000180","nnnstdMemCpy",$d,00000001,".text"
"00007234","FUN_00007234",$a,00000094,".text"
"00005cf4","FUN_00005cf4",$a,0000007c,".text"
"0000c434","FUN_0000c434",$a,0000004c,".text"
"00003ab8","FUN_00003ab8",$a,0000009c,".text"
"00002f0c","FUN_00002f0c",$a,0000009c,".text"
"0000c4cc","FUN_0000c4cc",$a,000000a0,".text"
"000116e4","OnUnresolved",$d,00000001,".text"
"00007e30","FUN_00007e30",$a,000000a0,".text"
"0000da34","FUN_0000da34",$a,000000a0,".text"
"00010974","FUN_00010974",$a,0000007c,".text"
"0000b718","FUN_0000b718",$a,0000007c,".text"
"0000b26c","FUN_0000b26c",$a,000000b8,".text"
"000077f4","FUN_000077f4",$a,0000007c,".text"
"000055a0","FUN_000055a0",$a,00000094,".text"
"000083c4","FUN_000083c4",$a,00000084,".text"
