Location,Name,Mode,Size,Segment
"00000180","FUN_0001e878",$d,00000001,".text"
"00023e1c","nnroControlObject_",$d,00000001,".text"
"0000b180","FUN_0000b180",$a,000000ec,".text"
"00023ec8","OnExit",$d,00000001,".text"
"00023ecc","OnLoad",$d,00000001,".text"
"0000dd68","FUN_0000dd68",$a,00000158,".text"
"0001ecc4","FUN_0001ecc4",$a,00000014,".text"
"0000d6a0","FUN_0000d6a0",$a,00000044,".text"
"00021850","FUN_00021850",$a,00000100,".text"
"00010e64","FUN_00010e64",$a,00000118,".text"
"00004560","FUN_00004560",$a,00000080,".text"
"000039d8","FUN_000039d8",$a,00000058,".text"
"00022980","FUN_00022980",$a,00000008,".text"
"0000a194","FUN_0000a194",$a,000000f0,".text"
"00003e6c","FUN_00003e6c",$a,000000c0,".text"
"0001d3dc","FUN_0001d3dc",$a,00000138,".text"
"000223d8","FUN_000223d8",$a,00000080,".text"
"00003a34","FUN_00003a34",$a,00000030,".text"
"00003d74","FUN_00003d74",$a,00000008,".text"
"0001e620","FUN_0001e620",$a,000000ec,".text"
"00022978","FUN_00022978",$a,00000008,".text"
"000036a4","FUN_000036a4",$a,00000020,".text"
"00008574","FUN_00008574",$a,000000b4,".text"
"00017a10","FUN_00017a10",$a,00000134,".text"
"00026840","DAT_00026840",$d,00000001,".text"
"00003320","FUN_00003320",$a,00000080,".text"
"00021b3c","FUN_00021b3c",$a,00000014,".text"
"000012c4","FUN_000035c0_000012c4",$a,00000004,".text"
"0001684c","FUN_0001684c",$a,000000f0,".text"
"0001ba34","FUN_0001ba34",$a,000000b4,".text"
"0000d158","FUN_0000d158",$a,0000000c,".text"
"00023ed0","OnUnresolved",$d,00000001,".text"
"00007b88","FUN_00007b88",$a,0000000c,".text"
"000221c8","FUN_000221c8",$a,0000005c,".text"
"000070e8","FUN_000070e8",$a,000000f8,".text"
"0000368c","FUN_0000368c",$a,00000014,".text"
"000035c0","FUN_000035c0",$a,000000b4,".text"
