Location,Name,Mode,Size,Segment
"0000b06c","nnroControlObject_",$d,00000001,".text"
"0000b118","OnExit",$d,00000001,".text"
"0000b11c","OnLoad",$d,00000001,".text"
"000058a4","FUN_000058a4",$a,000000b4,".text"
"00014a19","DAT_00014a19",$d,00000001,".text"
"00014a18","DAT_00014a18",$d,00000001,".text"
"00007104","FUN_00007104",$a,00000088,".text"
"00007224","FUN_00007224",$a,00000034,".text"
"00014a1a","DAT_00014a1a",$d,00000001,".text"
"00000180","FUN_0000a630",$d,00000001,".text"
"0000b120","OnUnresolved",$d,00000001,".text"
"000071e4","FUN_000071e4",$a,00000034,".text"
"000071a4","FUN_000071a4",$a,00000034,".text"
"00002a88","FUN_00002a88",$a,00000288,".text"
