Location,Name,Mode,Size,Segment
"00009be0","FUN_00009be0",$a,00000048,".text"
"0000e564","nnroControlObject_",$d,00000001,".text"
"0000ce14","FUN_0000ce14",$a,000000a8,".text"
"0000e610","OnExit",$d,00000001,".text"
"0000e614","OnLoad",$d,00000001,".text"
"0000b6e4","FUN_0000b6e4",$a,000002d0,".text"
"00003d58","FUN_00003d58",$a,000000f4,".text"
"00001968","FUN_00001968",$a,000000a0,".text"
"0000ad74","FUN_0000ad74",$a,00000048,".text"
"000008e8","FUN_0000291c_000008e8",$a,00000004,".text"
"00009294","FUN_00009294",$a,00000048,".text"
"0000d0bc","FUN_0000d0bc",$a,00000074,".text"
"000016fc","FUN_000016fc",$a,0000007c,".text"
"0000d040","FUN_0000d040",$a,0000007c,".text"
"00009e4c","FUN_00009e4c",$a,00000048,".text"
"000088ac","FUN_000088ac",$a,00000218,".text"
"00008614","FUN_00008614",$a,00000048,".text"
"00004458","FUN_00004458",$a,0000008c,".text"
"00001a1c","FUN_00001a1c",$a,00000040,".text"
"0000afe0","FUN_0000afe0",$a,00000048,".text"
"0000806c","FUN_0000806c",$a,00000108,".text"
"00002978","FUN_00002978",$a,00000048,".text"
"000083c0","FUN_000083c0",$a,00000048,".text"
"00000180","DAT_000043d0",$d,00000001,".text"
"00001c74","FUN_00001c74",$a,000000d0,".text"
"00004f98","FUN_00004f98",$a,0000008c,".text"
"000027d0","FUN_000027d0",$a,000000f8,".text"
"00000010","DAT_00000010",$d,00000001,".text"
"00008f58","FUN_00008f58",$a,0000007c,".text"
"00010778","DAT_00010778",$d,00000001,".text"
"0000ab24","FUN_0000ab24",$a,00000048,".text"
"00001934","FUN_00001934",$a,00000030,".text"
"0000291c","FUN_0000291c",$a,0000005c,".text"
"00001e14","FUN_00001c74_00001e14",$a,0000005c,".text"
"00005188","FUN_00005188",$a,00000018,".text"
"00009738","FUN_00009738",$a,00000048,".text"
"00006108","FUN_00006108",$a,000001ac,".text"
"0000b238","FUN_0000b238",$a,00000048,".text"
"00007338","FUN_00007338",$a,000001e0,".text"
"000106b4","DAT_000106b4",$d,00000001,".text"
"0000e618","OnUnresolved",$d,00000001,".text"
"0000998c","FUN_0000998c",$a,00000048,".text"
"000045f0","FUN_000045f0",$a,00000018,".text"
"000094e8","FUN_000094e8",$a,00000048,".text"
