Location,Name,Mode,Size,Segment
"0000cb94","nnroControlObject_",$d,00000001,".text"
"00000180","DAT_0000a448",$d,00000001,".text"
"0000cc40","OnExit",$d,00000001,".text"
"0000cc44","OnLoad",$d,00000001,".text"
"00009230","FUN_00009230",$a,00000018,".text"
"00000ecc","FUN_00000ecc",$a,000000c8,".text"
"0000bd10","FUN_0000bd10",$a,000000ec,".text"
"00009cc8","FUN_00009cc8",$a,00000090,".text"
"00006014","FUN_00006014",$a,00000114,".text"
"000091e0","FUN_000091e0",$a,0000004c,".text"
"00000ff0","FUN_00000ff0",$a,00000058,".text"
"000035dc","FUN_000035dc",$a,000001a4,".text"
"00008944","FUN_00008944",$a,00000050,".text"
"0000cc48","OnUnresolved",$d,00000001,".text"
"0000902c","FUN_0000902c",$a,0000008c,".text"
"0000f3e0","DAT_0000f3e0",$d,00000001,".text"
"0000a9ac","FUN_0000a9ac",$a,000000bc,".text"
