Location,Name,Mode,Size,Segment
"00003c78","FUN_00003c78",$a,000000f4,".text"
"0001c2ec","nnroControlObject_",$d,00000001,".text"
"0001c398","OnExit",$d,00000001,".text"
"0001c39c","OnLoad",$d,00000001,".text"
"0001918c","FUN_0001918c",$a,0000006c,".text"
"0001b774","FUN_0001b774",$a,00000250,".text"
"0001c3a0","OnUnresolved",$d,00000001,".text"
"00000180","nnnstdMemCpy",$d,00000001,".text"
"0001bb40","FUN_0001bb40",$a,00000030,".text"
"000019e0","FUN_000019e0",$a,000000a8,".text"
"00019114","FUN_00019114",$a,0000006c,".text"
"000185f4","FUN_000185f4",$a,00000310,".text"
"00019204","FUN_00019204",$a,000003a0,".text"
