Location,Name,Mode,Size,Segment
"00010df8","nnroControlObject_",$d,00000001,".text"
"000046c4","FUN_000046c4",$a,00000010,".text"
"00010ea4","OnExit",$d,00000001,".text"
"00010ea8","OnLoad",$d,00000001,".text"
"00009840","FUN_00009840",$a,0000015c,".text"
"0000b150","FUN_0000b150",$a,000000e8,".text"
"000102c0","FUN_000102c0",$a,000000f8,".text"
"00009fc0","FUN_00009fc0",$a,000004a4,".text"
"00012064","DAT_00012064",$d,00000001,".text"
"00010958","FUN_00010958",$a,00000014,".text"
"00000180","strlen",$d,00000001,".text"
"00000650","FUN_00009840_00000650",$a,00000004,".text"
"0000e108","FUN_0000e108",$a,000000c0,".text"
"00012060","DAT_00012060",$d,00000001,".text"
"0000c258","FUN_0000c258",$a,00000098,".text"
"00003634","FUN_00003634",$a,00000028,".text"
"00010eac","OnUnresolved",$d,00000001,".text"
"0000789c","FUN_0000789c",$a,00000028,".text"
"0000446c","FUN_0000446c",$a,00000068,".text"
"0000358c","FUN_0000358c",$a,000000a0,".text"
