Location,Name,Mode,Size,Segment
"00100000","Entry",$a,00000002,".text"
"00100003","Entry_00100003",$a,00000001,".text"
"00100004","FUN_00100004",$a,00000004,".text"
"00100008","FUN_00100008",$a,00000004,".text"
"0010000c","FUN_0010000c",$a,00000004,".text"
"00100010","FUN_00100010",$a,00000002,".text"
"00100013","FUN_00100010_00100013",$a,00000001,".text"
"00100014","FUN_00100014",$a,00000004,".text"
"00100018","FUN_00100018",$a,00000002,".text"
"0010001b","FUN_00100018_0010001b",$a,00000001,".text"
"0010001c","FUN_0010001c",$a,00000008,".text"
"00100024","FUN_00100024",$a,0000000c,".text"
"00100030","FUN_00100030",$a,00000010,".text"
"00100048","FUN_00100048",$t,00000032,".text"
"00100088","FUN_00100088",$t,0000002c,".text"
"001000c4","FUN_001000c4",$t,00000034,".text"
"00100104","FUN_00100104",$t,00000034,".text"
"00100148","FUN_00100148",$t,00000032,".text"
"0010018c","FUN_0010018c",$t,00000032,".text"
"001001d0","FUN_001001d0",$t,00000032,".text"
"00100214","FUN_00100214",$t,00000030,".text"
"00100258","FUN_0011d350_00100258",$a,00000008,".text"
"00100260","FUN_00100260",$t,00000034,".text"
"001002a4","FUN_001002a4",$t,00000032,".text"
"001002e8","FUN_001002e8",$t,0000002e,".text"
"0010032c","FUN_0010032c",$t,0000003a,".text"
"00100378","FUN_00100378",$t,0000002e,".text"
"001003bc","FUN_001003bc",$t,00000032,".text"
"00100400","FUN_00100400",$t,00000034,".text"
"00100448","FUN_00100448",$t,00000032,".text"
"00100490","FUN_00100490",$t,00000030,".text"
"001004dc","FUN_001004dc",$t,00000030,".text"
"00100528","FUN_00100528",$t,00000030,".text"
"00100574","FUN_00100574",$t,00000032,".text"
"001005c0","FUN_001005c0",$t,00000030,".text"
"00100608","FUN_00100608",$t,0000007a,".text"
"00100684","FUN_00100684",$t,000000d8,".text"
"00100794","FUN_00100794",$t,00000002,".text"
"001007c0","FUN_001007c0",$t,00000016,".text"
"001007dc","FUN_001007dc",$t,0000004e,".text"
"0010082c","wcslen_0010082c",$a,00000008,".text"
"00100834","wcslen",$t,00000012,".text"
"00100848","FUN_00100848",$a,00000008,".text"
"001008e8","FUN_001008e8",$t,00000012,".text"
"00100900","FUN_00100900",$t,00000012,".text"
"00100918","FUN_00100918",$t,00000012,".text"
"00100930","FUN_00100930",$t,00000012,".text"
"00100948","FUN_00100948",$t,00000012,".text"
"00100960","FUN_00100960",$t,00000012,".text"
"00100978","FUN_00100978",$t,00000012,".text"
"00100990","FUN_0012b40c_00100990",$a,00000008,".text"
"00100998","FUN_00100998",$t,00000012,".text"
"001009b0","FUN_001009b0",$t,00000012,".text"
"001009c8","FUN_001009c8",$t,00000016,".text"
"001009e4","FUN_001009e4",$t,00000012,".text"
"001009fc","FUN_001009fc",$t,00000012,".text"
"00100a14","FUN_00100a14",$t,00000012,".text"
"00100a2c","FUN_00100a2c",$t,00000012,".text"
"00100a44","FUN_00100a44",$t,00000012,".text"
"00100a5c","FUN_00100a5c",$t,00000012,".text"
"00100a74","FUN_00100a74",$t,00000012,".text"
"00100a8c","FUN_00100a8c",$t,0000009e,".text"
"00100b80","thunk_FUN_00100b8c_00100b80",$a,0000000c,".text"
"00100b8c","FUN_00100b8c",$t,000000fc,".text"
"00100cfc","FUN_00100cfc",$t,00000012,".text"
"00100d0e","FUN_00100d0e",$t,00000001,".text"
"00100d10","FUN_00100d0e_00100d10",$t,0000001c,".text"
"00100d2c","FUN_00100d2c",$t,00000001,".text"
"00100d2e","FUN_00100d2c_00100d2e",$t,00000072,".text"
"00100da0","FUN_00100da0",$t,00000024,".text"
"00100dc4","FUN_00100dc4",$t,0000001a,".text"
"00100dde","FUN_00100dde",$t,0000001e,".text"
"00100dfc","FUN_00100dfc",$t,00000036,".text"
"00100e38","FUN_00100e38",$t,00000020,".text"
"00100e5c","FUN_00100e5c",$t,00000032,".text"
"00100e94","FUN_00100e94",$t,00000044,".text"
"00100edc","FUN_00100edc",$t,00000016,".text"
"00100ef8","FUN_00100ef8",$t,00000001,".text"
"00100efa","FUN_00100ef8_00100efa",$t,00000026,".text"
"00100f24","FUN_00100f24",$t,00000036,".text"
"00100f60","FUN_0035bb38_00100f60",$a,00000008,".text"
"00100f68","FUN_00100f68",$t,00000048,".text"
"00100fb4","FUN_00100fb4",$t,00000052,".text"
"00101008","FUN_0011c6e8_00101008",$a,00000008,".text"
"0010107c","FUN_0010107c",$t,0000008c,".text"
"0010110c","FUN_0010110c",$t,00000056,".text"
"00101164","FUN_0011c6e8_00101164",$a,00000008,".text"
"001011dc","FUN_0011c6e8_001011dc",$a,00000008,".text"
"001011e4","FUN_001011e4",$t,00000044,".text"
"00101228","FUN_00101228",$t,00000018,".text"
"00101254","FUN_0011c6e8_00101254",$a,00000008,".text"
"001012f4","FUN_001012f4",$t,00000002,".text"
"001012f6","FUN_001012f6",$t,00000028,".text"
"00101334","FUN_00101334",$t,0000001a,".text"
"0010134e","FUN_0010134e",$t,00000076,".text"
"001013c4","FUN_001013c4",$t,00000008,".text"
"001013cc","FUN_001013cc",$t,00000074,".text"
"00101440","FUN_00101440",$t,00000042,".text"
"00101482","FUN_00101482",$t,0000006c,".text"
"001014fe","FUN_001014fe",$t,000001fe,".text"
"001016fc","FUN_001016fc",$t,00000088,".text"
"00101784","FUN_00101784",$t,00000016,".text"
"0010179a","FUN_0010179a",$t,00000028,".text"
"001017c2","FUN_001017c2",$t,00000018,".text"
"001017dc","FUN_003548f0_001017dc",$a,00000008,".text"
"001017e4","FUN_001017e4",$t,00000012,".text"
"001017f8","FUN_0036e084_001017f8",$a,00000008,".text"
"00101800","FUN_00101800",$t,0000001c,".text"
"0010181c","FUN_0010181c",$t,0000000a,".text"
"00101826","FUN_00101826",$t,0000000a,".text"
"00101830","FUN_00101830",$t,0000001c,".text"
"0010184c","thunk_FUN_00101852_0010184c",$t,00000002,".text"
"00101852","FUN_00101852",$t,0000001a,".text"
"00101868","FUN_00101868",$t,00000028,".text"
"00101890","FUN_00101890",$t,0000002c,".text"
"001018bc","FUN_001018bc",$t,0000007e,".text"
"0010193a","FUN_0010193a",$t,0000003e,".text"
"00101978","FUN_00101978",$t,0000002a,".text"
"001019bc","FUN_006e1d28_001019bc",$a,00000008,".text"
"001019c4","FUN_001019c4",$t,00000018,".text"
"001019dc","FUN_001019dc",$t,0000001a,".text"
"00101a00","__set_errno_00101a00",$a,00000008,".text"
"00101a12","__set_errno",$t,0000000c,".text"
"00101a1e","FUN_00101a1e",$t,0000000c,".text"
"00101a2c","FUN_00101a2c",$t,00000032,".text"
"00101a64","FUN_0011c6e8_00101a64",$a,00000008,".text"
"00101aa4","FUN_0011c6e8_00101aa4",$a,00000008,".text"
"00101aac","FUN_00101aac",$t,00000016,".text"
"00101adc","FUN_00101adc",$t,000000b6,".text"
"00101b98","FUN_0011c6e8_00101b98",$a,00000008,".text"
"00101ba0","FUN_00101ba0",$t,00000016,".text"
"00101bd0","FUN_00101bd0",$t,00000036,".text"
"0010211c","FUN_0010211c",$t,0000006c,".text"
"0010218c","FUN_0010218c",$t,0000007c,".text"
"00102208","FUN_00102208",$t,000000a8,".text"
"001022b0","FUN_001022b0",$t,0000008c,".text"
"0010233e","FUN_001022b0_0010233e",$t,00000038,".text"
"001023a4","FUN_001023a4",$t,000000d8,".text"
"0010247c","FUN_0010247c",$t,00000038,".text"
"001024e0","FUN_001024e0",$t,0000000c,".text"
"001024ec","FUN_001024ec",$t,00000012,".text"
"001024fe","FUN_001024fe",$t,00000070,".text"
"00102570","FUN_0011c6e8_00102570",$a,00000008,".text"
"0010284c","FUN_0010284c",$t,00000386,".text"
"00102be0","FUN_00102be0",$t,00000144,".text"
"00102d24","FUN_00102d24",$t,0000014a,".text"
"00102e6e","FUN_00102e6e",$t,000000e2,".text"
"00102f50","FUN_00102f50",$t,000000d4,".text"
"00103024","FUN_00103024",$t,0000011a,".text"
"0010313e","FUN_0010313e",$t,000000e4,".text"
"00103222","FUN_00103222",$t,000000cc,".text"
"001032ee","FUN_001032ee",$t,00000008,".text"
"001032f6","FUN_001032f6",$t,0000003e,".text"
"00103334","FUN_00103334",$t,00000036,".text"
"001037ec","FUN_001037ec",$t,000001ec,".text"
"00103a1c","FUN_00103a1c",$t,00000016,".text"
"00103adc","FUN_00103a1c_00103adc",$t,00000004,".text"
"00103c4a","switchD_00003c4a::switchD",$d,00000001,".text"
"00103c4c","switchD_00003c4a::switchdataD_00003c4c",$d,00000001,".text"
"00103c5c","switchD_00003c4a::caseD_0",$d,00000001,".text"
"00103c7e","switchD_00003c4a::caseD_1",$d,00000001,".text"
"00103ca0","switchD_00003c4a::caseD_2",$d,00000001,".text"
"00103cc2","switchD_00003c4a::caseD_3",$d,00000001,".text"
"00103ce4","switchD_00003c4a::caseD_4",$d,00000001,".text"
"00103d04","switchD_00003c4a::default",$d,00000001,".text"
"00103e3e","FUN_00103e3e",$a,0000000c,".text"
"00103e74","FUN_00103e74",$d,00000001,".text"
"00104b58","FUN_00104b58",$t,00000134,".text"
"00105c3c","FUN_00105c3c",$t,00000086,".text"
"00105d9c","FUN_00105d9c",$t,00000050,".text"
"00105dec","FUN_00105dec",$t,00000022,".text"
"00105e14","FUN_00105e14",$t,00000022,".text"
"00105e38","FUN_00105e38",$t,00000054,".text"
"00105f10","FUN_00105f10",$t,0000003e,".text"
"00105f54","FUN_00105f54",$t,00000076,".text"
"00105fcc","FUN_00105fcc",$t,000000c4,".text"
"00106094","FUN_00106094",$t,00000058,".text"
"001060ec","FUN_001060ec",$t,00000050,".text"
"00106334","FUN_00106334",$t,00000028,".text"
"001063bc","FUN_001063bc",$t,0000000e,".text"
"001063d2","FUN_001063bc_001063d2",$t,00000006,".text"
"001063dc","FUN_001063dc",$t,0000000e,".text"
"001063f2","FUN_001063dc_001063f2",$t,0000000c,".text"
"00106400","FUN_00106400",$t,00000010,".text"
"0010645a","FUN_00106400_0010645a",$t,000000bc,".text"
"00106610","FUN_00106400_00106610",$t,00000002,".text"
"00106670","FUN_00106400_00106670",$t,0000008e,".text"
"00106774","FUN_00106400_00106774",$t,00000002,".text"
"001067dc","FUN_00106400_001067dc",$t,00000002,".text"
"001068b4","FUN_00106400_001068b4",$t,0000000e,".text"
"001068e6","FUN_00106400_001068e6",$t,00000012,".text"
"00106910","FUN_00106400_00106910",$t,00000004,".text"
"00106940","FUN_00106940",$t,00000054,".text"
"00106998","FUN_00106998",$t,00000080,".text"
"00106ab4","FUN_00106998_00106ab4",$t,00000002,".text"
"00106b78","FUN_00106998_00106b78",$t,00000006,".text"
"00106bb0","FUN_00106bb0",$t,00000038,".text"
"00106c6e","FUN_0029c150_00106c6e",$a,00000036,".text"
"00106ce2","FUN_0029c150_00106ce2",$a,00000004,".text"
"00106d10","FUN_00106d10",$t,00000042,".text"
"00106d7a","FUN_00106d10_00106d7a",$t,00000022,".text"
"00106da4","FUN_00106da4",$t,000000d6,".text"
"0010736e","FUN_0010736e",$a,00000004,".text"
"00107634","FUN_00107634",$t,00000048,".text"
"0010767c","FUN_0010767c",$t,0000000a,".text"
"00107ed0","FUN_00107ed0",$t,0000000a,".text"
"00108040","switchD_0000803e::switchdataD_00008040",$d,00000001,".text"
"001082c8","FUN_001082c8",$t,00000020,".text"
"001082e8","FUN_001082e8",$t,00000068,".text"
"00108434","FUN_00108434",$t,00000010,".text"
"00108448","FUN_00108448",$t,0000000c,".text"
"00108454","FUN_00108454",$t,0000000e,".text"
"00108a9c","FUN_00108a9c",$t,00000040,".text"
"00108b58","FUN_00108b58",$t,0000002e,".text"
"00108b88","FUN_00108b88",$t,0000004c,".text"
"00108c18","FUN_00108b88_00108c18",$t,00000024,".text"
"00109614","FUN_00109614",$t,00000034,".text"
"00109648","FUN_00109648",$t,0000001c,".text"
"0010969c","FUN_00109648_0010969c",$t,0000000a,".text"
"001096c2","FUN_00109648_001096c2",$t,00000020,".text"
"00109770","FUN_00109770",$t,00000020,".text"
"00109794","FUN_00109794",$t,00000088,".text"
"00109828","FUN_00109828",$t,00000066,".text"
"001098c0","FUN_001098c0",$t,0000005c,".text"
"00109930","FUN_00109930",$t,00000006,".text"
"00109a90","FUN_00109a90",$t,000000a2,".text"
"00109b58","FUN_00109b58",$t,000000a4,".text"
"00109c14","FUN_00109c14",$t,000000ae,".text"
"00109e64","FUN_00109e64",$t,00000044,".text"
"00109ea8","switchD_00009ea6::switchdataD_00009ea8",$d,00000001,".text"
"00109eb4","FUN_00109e64_00109eb4",$t,000000c0,".text"
"00109f76","FUN_00109e64_00109f76",$t,0000005c,".text"
"00109ff8","FUN_00109ff8",$t,0000001e,".text"
"0010a01c","FUN_0010a01c",$t,00000022,".text"
"0010a0cc","FUN_0010a0cc",$t,00000010,".text"
"0010a0dc","FUN_0010a0dc",$t,00000010,".text"
"0010a0ec","FUN_0010a0ec",$t,00000074,".text"
"0010a174","FUN_0010a174",$t,0000000a,".text"
"0010a1a4","FUN_0010a1a4",$t,000000e4,".text"
"0010a2cc","FUN_0010a2cc",$a,00000034,".text"
"0010a300","FUN_0010a300",$t,000000ca,".text"
"0010a400","FUN_0010a400",$t,00000046,".text"
"0010a44c","FUN_0010a44c",$t,0000005c,".text"
"0010a4a8","FUN_0010a4a8",$t,00000010,".text"
"0010a4b8","FUN_0010a4b8",$t,00000322,".text"
"0010a800","FUN_0010a800",$t,0000003c,".text"
"0010a840","FUN_0010a840",$t,0000011c,".text"
"0010a994","FUN_0010a994",$a,00000008,".text"
"0010a9bc","FUN_0010a9bc",$t,00000024,".text"
"0010ab2c","FUN_0010ab2c",$t,0000008c,".text"
"0010abc8","FUN_0010abc8",$t,0000007a,".text"
"0010ac50","FUN_0010ac50",$t,00000066,".text"
"0010af60","FUN_0010af60",$t,00000012,".text"
"0010af72","FUN_0010af72",$t,00000022,".text"
"0010af94","FUN_0010af94",$t,0000004e,".text"
"0010afe8","FUN_0010afe8",$t,00000022,".text"
"0010b024","FUN_0010b024",$t,00000020,".text"
"0010b048","FUN_0010b048",$t,00000022,".text"
"0010b074","FUN_0010b074",$t,0000001c,".text"
"0010b094","FUN_0010b094",$t,00000044,".text"
"0010b14c","FUN_0010b14c",$t,0000003e,".text"
